kappa,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,mode_overlap,source_code
0.109979242059865,0.889998608028837,5.91851896408636e-13,751876114133.754,3.46128228776815e-13,7.13655921999576e-12,1,1
0.10998248218353,0.88999880786094,4.22336548347209e-13,1053660654451.88,2.48761834474712e-13,5.1245789912747e-12,1,1
0.109985219106572,0.889998976655627,3.0136599551929e-13,1476608160655.37,1.79111240943888e-13,3.70415869423548e-12,1,1
0.109987530977512,0.889999119233931,2.15045092581077e-13,2069331386621.58,1.29370521162471e-13,2.67920798481781e-12,1,1
0.109989483808175,0.889999239667928,1.53449103718764e-13,2899981877049.89,9.25125845688097e-14,1.93711864478631e-12,1,1
0.10999113335856,0.889999341397117,1.09493821448134e-13,4064153253700.72,6.6824164491454e-14,1.38263414791979e-12,1,1
0.109992526728976,0.889999427326712,7.81291385576476e-14,5695694613796.53,4.78610529118637e-14,9.80819080416665e-13,1,1
0.109993703704917,0.889999499910652,5.57570584189053e-14,7981047827380.39,3.43307374798416e-14,7.16801302697127e-13,1,1
0.109994697893073,0.889999561221658,3.97851983508432e-14,11185058741862.4,2.50929764674022e-13,5.17851394728629e-12,1,1
0.109995537680919,0.88999961301067,2.83822046837929e-14,15678831558826.8,1.89331474277443e-13,3.89623254822267e-12,1,1
0.109996247047272,0.8899996567565,2.02446418034533e-14,21981116420757.9,1.41676323385929e-13,2.92788969746044e-12,1,1
0.109996846246968,0.889999693708334,1.44492834307887e-14,30797364380434,1.06028741262202e-13,2.17282340281177e-12,1,1
0.10999735238921,0.889999724921341,1.03084708001159e-14,43168368140080.1,8.20471735043936e-14,1.69469143654798e-12,1,1
0.109997779926091,0.889999751286805,7.35987446656826e-15,60462970892341.3,6.16369882466099e-14,1.3040962580073e-12,1,1
0.109998141065251,0.889999773557585,5.25201579584084e-15,84729350420308.1,4.72991540350262e-14,9.74373386807159e-13,1,1
0.109998446118451,0.889999792369611,3.74772024309165e-15,118738824490727,3.69430367503248e-14,7.72993702289755e-13,1,1
0.109998703796002,0.889999808260049,2.67554288084186e-15,166321350076813,2.8566539200245e-14,5.90104708316036e-13,1,1
0.10999892145548,0.889999821682637,1.91498038052264e-15,232378313306723,2.27866344183262e-14,4.9520490046901e-13,1,1
0.109999105311808,0.889999833020649,1.45477238732648e-15,305889718822699,3.13278530176001e-16,1.02337196483133e-13,1,1
0.110000105311808,0.889999894688192,0,Inf,5.84695575170923e-16,1.28083191904701e-13,1,1
0.110001105311808,0.889999956355377,1.59138671710508e-15,279630320772813,5.20422606313003e-16,1.30913140337858e-13,1,1
0.110001289168137,0.889999967693241,2.09900392420051e-15,212005312956295,4.10830796470719e-15,1.30738692552629e-13,1,1
0.110001506827615,0.889999981115626,2.96274824154317e-15,150198381461542,2.91328530435108e-15,1.35314147097578e-13,1,1
0.110001764505166,0.88999999700578,4.19825005875452e-15,105996544339931,1.6720814581846e-15,1.13137179245736e-13,1,1
