theta_deg,frequency_hz,rayleigh_frequency_hz,eta_0,eta_m1,eta_p1,eta_total,kn_m1_real,kn_m1_imag,large_groove_probe_abs_pa
7.25,179400,179503.213705592,0.999999999999995,-9.77284722627672e-25,-1.91237642323246e-31,0.999999999999995,0,-27.0558642649726,8871.12316996218
7.3,179400,179365.346661604,0.999999329616548,6.70383452977482e-07,-3.76650213772828e-31,1,15.6797139001394,0,8870.68759194499
7.35,179400,179227.706607998,0.999998529028762,1.47097123591995e-06,6.2452677337738e-31,0.999999999999998,34.9681451347502,0,8871.46767744474
7.4,179400,179090.293091797,0.999998058446046,1.94155394853916e-06,-1.2333739263691e-31,0.999999999999995,46.8906492616662,0,8872.26131146848
7.45,179400,178953.105661197,0.999997703004016,2.2969959784271e-06,1.40791397475594e-31,0.999999999999995,56.3359424652347,0,8873.02483767774
7.5,179400,178816.143865561,0.999997413163084,2.58683689876508e-06,-5.07035659396441e-31,0.999999999999982,64.4033151010055,0,8873.75021663664
7.55,179400,178679.40725542,0.999997167375586,2.83262440690965e-06,2.2382693446838e-31,0.999999999999993,71.5603122163777,0,8874.43521501774
7.6,179400,178542.895382466,0.999996953832419,3.04616758515495e-06,8.5057345572723e-32,1,78.0577467664562,0,8875.07950603564
7.65,179400,178406.607799548,0.999996765177607,3.23482239232576e-06,-2.4838554637992e-31,0.999999999999999,84.0487191286733,0,8875.68355988863
7.7,179400,178270.544060673,0.999996596436011,3.40356399461836e-06,-7.15409189823766e-32,1.00000000000001,89.634836485561,0,8876.24821864883
7.75,179400,178134.703720996,0.999996444043662,3.55595633471008e-06,1.41682124332489e-31,0.999999999999997,94.8876259756456,0,8876.77450353067
7.8,179400,177999.086336821,0.999996305337181,3.69466282392132e-06,-2.76012217465209e-31,1,99.8597000970262,0,8877.26351764851
7.85,179400,177863.691465598,0.999996178260538,3.82173945031024e-06,3.59061892979533e-31,0.999999999999989,104.591098554008,0,8877.71639335392
7.9,179400,177728.518665915,0.999996061185615,3.93881436517075e-06,8.43786965388979e-32,0.999999999999981,109.113132619934,0,8878.13426239688
7.95,179400,177593.567497499,0.999995952796256,4.04720374476584e-06,-5.41788145336891e-32,1,113.450838310421,0,8878.51823858978
8,179400,177458.837521211,0.999995852010288,4.1479897268273e-06,-3.3853275970633e-31,1.00000000000001,117.624608303825,0,8878.86940768992
8.05,179400,177324.328299041,0.999995757925315,4.24207468175209e-06,2.21946511103825e-31,0.999999999999996,121.651315574138,0,8879.18882161821
