theta_deg,intrinsic_linewidth_hz,angular_bandwidth_w25_hz,angular_bandwidth_w100_hz,angular_bandwidth_w200_hz
6.72,0.019480872316954046,1283.753412207888,358.4242198626015,179.8541840049911
6.74,0.017719656424041677,1283.3478287699766,357.9115962657703,179.58430390829022
6.76,0.016044039345913415,1282.9282536979244,357.39640334548847,179.31296958198544
6.779999999999999,0.014368422267785152,1282.4947609686596,356.87868782751957,179.0401999206522
6.8,0.012692805189656816,1282.0474248581904,356.35849646199273,178.76601507184216
6.82,0.01101718811152848,1281.5863199324092,355.835876020363,178.49043650991769
6.84,0.009341571033400218,1281.1115210379628,355.3108732915576,178.2134870987931
6.859999999999999,0.008082640875411372,1280.6231032931996,354.7835350773119,177.935191142258
6.88,0.007042002480373802,1280.121142079175,354.25390818670235,177.65557442070516
6.9,0.0060013640853362315,1279.6057130307222,353.72203942988733,177.3746642132731
6.92,0.004960725690298707,1279.0768920275755,353.1879756110646,177.09248930461283
6.9399999999999995,0.003920087295261183,1278.5347551855984,352.65176352066317,176.80907997572115
6.96,0.002879448900223612,1277.9793788480263,352.1134499267865,176.52446797853068
6.9799999999999995,0.002067736705984368,1277.4108395768135,351.5730815659272,176.2386864942042
7.0,0.0015306726348467475,1276.829214144027,351.03070513297604,175.95177007534937
7.02,0.0009936085637091512,1276.234579523309,350.4863672705501,175.66375457263666
7.04,0.0005092559321526115,1275.627012881414,349.9401145576701,175.37467704656524
7.06,0.0002273520495880766,1275.006591569801,349.39199349780995,175.08457566537695
7.08,5.54627540797429e-05,1274.373393116285,348.8420505063645,174.79348959034337
7.1,1.613085832328323e-08,1273.7274952167843,348.29033189755125,174.50145884987552
7.12,0.00015725611995852788,1273.068975727097,347.736883870799,174.20852420407456
7.14,0.0007782143038775279,1272.397912654761,347.1817524966524,173.91472700150672
7.16,0.0019754230635509293,1271.7143841509906,346.62498370223375,173.62010903009187
7.18,0.0045795635981821705,1271.0184685026509,346.0666232563044,173.3247123640807
7.2,0.007498816969943084,1270.3102441243234,345.5067167539659,173.028579209128
7.22,0.010418070341703868,1269.5897895504318,344.9453096010506,172.7317517474746
7.24,0.01605443575277409,1268.857183427407,344.382446998236,172.4342719852032
7.26,0.023670318177418596,1268.112504505971,343.81817392494025,172.13618160346346
7.279999999999999,0.0312862006020631,1267.3558316334388,343.2525351230363,171.83752181543767
7.3,0.038902083026707945,1266.5872437461023,342.6855750804346,171.53833323068307
7.32,0.04651796545135279,1265.806819861686,342.1173380145809,171.23865572830664
7.34,0.054133847875997294,1265.014639071859,341.5478678559183,170.9385283402349
7.359999999999999,0.0630385623938615,1264.2107805348253,340.9772082313544,170.6379891456267
7.38,0.07831304179943316,1263.3953234679652,340.4054024477885,170.33707517725185
7.4,0.09358752120500481,1262.5683471405453,339.8324934757377,170.03582234042423
7.42,0.1088620006105758,1261.7299308665035,339.25852393311123,169.73426534484517
7.4399999999999995,0.12413648001614677,1260.8801539972947,338.68353606917816,169.43243764948514
7.46,0.1394109594217184,1260.0190959147988,338.1075717487684,169.13037142040903
7.4799999999999995,0.1546854388272894,1259.1468360242943,337.5306724367559,168.82809750124952
7.5,0.17661193899104946,1258.2634537475076,336.9528791828572,168.52564539583884
7.52,0.20066985668343618,1257.3690285157052,336.374232606794,168.22304326235323
7.54,0.22472777437582397,1256.4636397628806,335.7947728838491,167.92031791816902
7.56,0.2487856920682107,1255.5473669189919,335.2145397308631,167.61749485452773
7.58,0.27284360976059846,1254.6202894032526,334.6335723926924,167.31459826000426
7.6,0.2969015274529852,1253.682486617511,334.05190962917806,167.01165105171893
7.62,0.324253531696154,1252.734037939684,333.4695897026394,166.70867491319365
7.64,0.3578425129472113,1251.7750227172476,332.8866503659349,166.40569033774148
7.66,0.3914314941982701,1250.8055202608093,332.30312885110976,166.10271667629263
7.68,0.4250204754493274,1249.8256098377344,331.71906185865197,165.79977218859247
7.7,0.4586094567003862,1248.8353706658422,331.13448554738954,165.4968740967606
7.72,0.4921984379514435,1247.8348819071596,330.54943552503346,165.19403864026708
