system,state,frequency_hz,kx_over_k0,normalized_power_db
ideal_infinite,1,178780.3005,-0.76875,-60.0
ideal_infinite,1,178780.3005,-0.7666666666666666,-60.0
ideal_infinite,1,178780.3005,-0.7645833333333334,-60.0
ideal_infinite,1,178780.3005,-0.7625,-60.0
ideal_infinite,1,178780.3005,-0.7604166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7583333333333333,-60.0
ideal_infinite,1,178780.3005,-0.7562500000000001,-60.0
ideal_infinite,1,178780.3005,-0.7541666666666667,-60.0
ideal_infinite,1,178780.3005,-0.7520833333333333,-60.0
ideal_infinite,1,178780.3005,-0.75,-60.0
ideal_infinite,1,178780.3005,-0.7479166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7458333333333333,-60.0
ideal_infinite,1,178780.3005,-0.74375,-60.0
ideal_infinite,1,178780.3005,-0.7416666666666667,-60.0
ideal_infinite,1,178780.3005,-0.7395833333333334,-60.0
ideal_infinite,1,178780.3005,-0.7375,-60.0
ideal_infinite,1,178780.3005,-0.7354166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7333333333333334,-60.0
ideal_infinite,1,178780.3005,-0.73125,-60.0
ideal_infinite,1,178780.3005,-0.7291666666666666,-60.0
ideal_infinite,1,178780.3005,-0.7270833333333333,-60.0
ideal_infinite,1,178780.3005,-0.725,-60.0
ideal_infinite,1,178780.3005,-0.7229166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7208333333333333,-60.0
ideal_infinite,1,178780.3005,-0.71875,-60.0
ideal_infinite,1,178780.3005,-0.7166666666666667,-60.0
ideal_infinite,1,178780.3005,-0.7145833333333333,-60.0
ideal_infinite,1,178780.3005,-0.7125,-60.0
ideal_infinite,1,178780.3005,-0.7104166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7083333333333334,-60.0
ideal_infinite,1,178780.3005,-0.70625,-60.0
ideal_infinite,1,178780.3005,-0.7041666666666667,-60.0
ideal_infinite,1,178780.3005,-0.7020833333333334,-60.0
ideal_infinite,1,178780.3005,-0.7,-60.0
ideal_infinite,1,178780.3005,-0.6979166666666666,-60.0
ideal_infinite,1,178780.3005,-0.6958333333333333,-60.0
ideal_infinite,1,178780.3005,-0.69375,-60.0
ideal_infinite,1,178780.3005,-0.6916666666666667,-60.0
ideal_infinite,1,178780.3005,-0.6895833333333333,-60.0
ideal_infinite,1,178780.3005,-0.6875,-60.0
ideal_infinite,1,178780.3005,-0.6854166666666667,-60.0
ideal_infinite,1,178780.3005,-0.6833333333333333,-60.0
ideal_infinite,1,178780.3005,-0.68125,-60.0
ideal_infinite,1,178780.3005,-0.6791666666666667,-60.0
ideal_infinite,1,178780.3005,-0.6770833333333334,-60.0
ideal_infinite,1,178780.3005,-0.675,-60.0
ideal_infinite,1,178780.3005,-0.6729166666666667,-60.0
ideal_infinite,1,178780.3005,-0.6708333333333334,-60.0
ideal_infinite,1,178780.3005,-0.66875,-60.0
ideal_infinite,1,178780.3005,-0.6666666666666666,-60.0
ideal_infinite,1,178780.3005,-0.6645833333333333,-60.0
ideal_infinite,1,178780.3005,-0.6625,-60.0
ideal_infinite,1,178780.3005,-0.6604166666666667,-60.0
ideal_infinite,1,178780.3005,-0.6583333333333333,-60.0
ideal_infinite,1,178780.3005,-0.65625,-60.0
ideal_infinite,1,178780.3005,-0.6541666666666667,-60.0
ideal_infinite,1,178780.3005,-0.6520833333333333,-60.0
ideal_infinite,1,178780.3005,-0.65,-60.0
ideal_infinite,1,178780.3005,-0.6479166666666667,-60.0
ideal_infinite,1,178780.3005,-0.6458333333333334,-60.0
ideal_infinite,1,178780.3005,-0.64375,-60.0
ideal_infinite,1,178780.3005,-0.6416666666666667,-60.0
ideal_infinite,1,178780.3005,-0.6395833333333334,-60.0
ideal_infinite,1,178780.3005,-0.6375,-60.0
ideal_infinite,1,178780.3005,-0.6354166666666666,-60.0
ideal_infinite,1,178780.3005,-0.6333333333333333,-60.0
ideal_infinite,1,178780.3005,-0.63125,-60.0
ideal_infinite,1,178780.3005,-0.6291666666666667,-60.0
ideal_infinite,1,178780.3005,-0.6270833333333333,-60.0
ideal_infinite,1,178780.3005,-0.625,-60.0
ideal_infinite,1,178780.3005,-0.6229166666666667,-60.0
ideal_infinite,1,178780.3005,-0.6208333333333333,-60.0
ideal_infinite,1,178780.3005,-0.61875,-60.0
ideal_infinite,1,178780.3005,-0.6166666666666667,-60.0
ideal_infinite,1,178780.3005,-0.6145833333333334,-60.0
ideal_infinite,1,178780.3005,-0.6125,-60.0
ideal_infinite,1,178780.3005,-0.6104166666666667,-60.0
ideal_infinite,1,178780.3005,-0.6083333333333334,-60.0
ideal_infinite,1,178780.3005,-0.60625,-60.0
ideal_infinite,1,178780.3005,-0.6041666666666666,-60.0
ideal_infinite,1,178780.3005,-0.6020833333333333,-60.0
ideal_infinite,1,178780.3005,-0.6,-60.0
ideal_infinite,1,178780.3005,-0.5979166666666667,-60.0
ideal_infinite,1,178780.3005,-0.5958333333333333,-60.0
ideal_infinite,1,178780.3005,-0.59375,-60.0
ideal_infinite,1,178780.3005,-0.5916666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5895833333333333,-60.0
ideal_infinite,1,178780.3005,-0.5875,-60.0
ideal_infinite,1,178780.3005,-0.5854166666666667,-60.0
ideal_infinite,1,178780.3005,-0.5833333333333334,-60.0
ideal_infinite,1,178780.3005,-0.58125,-60.0
ideal_infinite,1,178780.3005,-0.5791666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5770833333333334,-60.0
ideal_infinite,1,178780.3005,-0.575,-60.0
ideal_infinite,1,178780.3005,-0.5729166666666666,-60.0
ideal_infinite,1,178780.3005,-0.5708333333333333,-60.0
ideal_infinite,1,178780.3005,-0.56875,-60.0
ideal_infinite,1,178780.3005,-0.5666666666666667,-60.0
ideal_infinite,1,178780.3005,-0.5645833333333333,-60.0
ideal_infinite,1,178780.3005,-0.5625,-60.0
ideal_infinite,1,178780.3005,-0.5604166666666667,-60.0
ideal_infinite,1,178780.3005,-0.5583333333333333,-60.0
ideal_infinite,1,178780.3005,-0.55625,-60.0
