kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,normalized_detuning,frequency_hz,A0_real,A0_imag,Am1_real,Am1_imag,eta0,etam1,condition_number,energy_error
0.113377883089586,7.31714295109116,180041.715411613,179398.743624939,0.0406228565642178,-32,180041.065445908,0.169854927714663,-0.985071517561805,-0.0905441295158453,-0.0217742879299461,0.999216591180472,0.000783408819537682,3553650.51893961,9.32587340685131e-15
0.113765846052549,7.34212459014415,180046.454024351,179329.953737215,0.0526456078160097,-32,180045.611694626,0.170077462481164,-0.985042058988108,-0.0869984008004702,-0.0214857761258373,0.999234201219563,0.000765798780411094,2739229.68462117,2.56461518688411e-14
0.114153809015512,7.36710676358749,180051.181799763,179261.218974196,0.0665065931529535,-32,180050.117694273,0.170244696821289,-0.98502120930209,-0.0838954835925967,-0.0212362144553939,0.999250039570723,0.000749960429268827,2166065.49162055,7.7715611723761e-15
0.114541771978475,7.39208948053057,180055.898745371,179192.539258042,0.0822706815815438,-32,180054.582414466,0.170368259933559,-0.985007151247175,-0.081145459857754,-0.0210171430217814,0.999264432000864,0.000735567999146389,1749190.87826868,9.99200722162641e-15
0.114929734941438,7.41707275006997,180060.604868945,179123.914511093,0.0999973748865969,-32,180059.004910947,0.170456685050822,-0.984998550384845,-0.0786823227881439,-0.0208224070786642,0.999277625738762,0.000722374261250257,1437606.6908828,1.22124532708767e-14
0.115317697904401,7.44205658128948,180065.300178497,179055.344655873,0.119741420369159,-32,180063.384315771,0.170516399775138,-0.984994400836033,-0.07645633689293,-0.0206474119989974,0.999289812270611,0.00071018772939125,1199308.96669064,1.99840144432528e-15
0.115705660867364,7.46704098326005,180069.984682282,178986.829615091,0.141553311058185,-32,180067.719829305,0.170552353573151,-0.984993927500296,-0.0744291944457774,-0.0204886528250449,0.999301142521799,0.000698857478196476,1013450.90536222,4.21884749357559e-15
0.116093623830327,7.49202596503981,180074.658388794,178918.369311634,0.165479701218907,-32,180072.010713575,0.170568430132247,-0.984996521774177,-0.0725708308497173,-0.0203434061722332,0.999311737265007,0.000688262734990362,866015.731433951,2.99760216648792e-15
0.11648158679329,7.51701153567407,180079.321306759,178849.963668575,0.191563756576199,-32,180076.256286654,0.170567726826973,-0.985001697967174,-0.0708572651975964,-0.0202095221679308,0.999321694433137,0.0006783055668619,747318.040037912,7.7715611723761e-16
0.116869549756253,7.54199770419531,180083.973445134,178781.612609165,0.219845453305929,-32,180080.455917881,0.17055274923933,-0.985009062952997,-0.0692690964871997,-0.0200852801480991,0.999331094372636,0.000668905627363807,650504.345640535,5.55111512312578e-16
0.117257512719216,7.56698447962319,180088.614813105,178713.316056836,0.250361836035903,-32,180084.609023729,0.170525549715648,-0.985018294542801,-0.0677904319852441,-0.0199692862500196,0.999340003689832,0.000659996310174933,570622.714502162,6.66133814775094e-15
0.117645475682179,7.59197187096455,180093.24542008,178645.073935203,0.283147242661411,-32,180088.715064197,0.170487828091211,-0.98502912575675,-0.0664081078683319,-0.0198603992430357,0.999348478116365,0.000651521883633446,504028.375911634,1.11022302462516e-15
0.118033438645142,7.61695988721344,180097.865275688,178576.886168059,0.31823350191151,-32,180092.773539657,0.170441006237383,-0.985041333178016,-0.0651111121848771,-0.0197576758491414,0.999356564676334,0.000643435323669314,447994.051764877,3.10862446895044e-15
0.118421401608105,7.64194853735112,180102.474389774,178508.752679375,0.355650108264673,-32,180096.783988041,0.170386284132611,-0.985054728189263,-0.0638901506813503,-0.0196603297729866,0.999364303348542,0.0006356966514613,400448.558705185,3.5527136788005e-15
0.118809364571068,7.66693783034605,180107.072772397,178440.673393303,0.395424377828664,-32,180100.745982352,0.170324682641075,-0.985069150283331,-0.062737315443795,-0.0195677005757946,0.999371728356707,0.000628271643297647,359797.812116923,4.21884749357559e-15
0.119197327534031,7.69192777515398,180111.660433828,178372.648234174,0.437581588163221,-32,180104.659128417,0.170257076585935,-0.985084461889243,-0.0616458286482199,-0.019479229705335,0.999378869183208,0.0006211308167889,324799.961274203,3.10862446895044e-15
0.119585290496994,7.71691838071789,180116.237384541,178304.677126495,0.482145104314451,-32,180108.523062872,0.170184220615988,-0.98510054432349,-0.0606098420948238,-0.0193944418318238,0.999385751373108,0.000614248626893405,294476.809995591,1.77635683940025e-15
0.119973253459957,7.74190965596804,180120.803635214,178236.759994951,0.529136493035174,-32,180112.337451326,0.170106769658697,-0.985117294587035,-0.0596242786667611,-0.0193129301530931,0.999392397178197,0.000607602821802105,268050.009791612,6.66133814775094e-16
0.12036121642292,7.76690160982199,180125.359196727,178168.896764406,0.578575626734685,-32,180116.1019867,0.170025295251757,-0.98513462280645,-0.0586847057156716,-0.01923434471371,0.999398826077454,0.000601173922546071,244894.450403951,0
0.120749179385883,7.79189425118463,180129.904080155,178101.087359897,0.630480778469008,-32,180119.8163877,0.169940298702896,-0.985152450170856,-0.057787233025628,-0.0191583830356968,0.999405055200871,0.000594944799130869,224503.772958192,1.99840144432528e-15
0.121137142348846,7.8168875889482,180134.438296766,178033.331706641,0.684868709106761,-32,180123.48039742,0.169852221781605,-0.985170707254811,-0.0569284299063243,-0.0190847825437141,0.999411099677092,0.000588900322908665,206464.549358446,2.22044604925031e-16
0.121525105311808,7.84188163199223,180138.961858019,177965.629730027,0.741754747545203,-32,180127.093782058,0.169761455475603,-0.985189332644037,-0.0561052572935619,-0.0190133143900973,0.999416972920798,0.00058302707920059,190436.737824459,1.11022302462516e-15
0.121913068274771,7.86687638918387,180143.474775558,177897.981355621,0.801152864798069,-32,180130.656329721,0.169668347212109,-0.985208271801375,-0.0553150117545172,-0.0189437783887005,0.999422686871541,0.000577313128458324,176138.738485536,9.99200722162641e-16
0.122301031237734,7.89187186937747,180147.977061213,177830.386509164,0.86307574260527,-32,180134.167849331,0.169573206852578,-0.985227476124718,-0.0545552790061476,-0.0188759988324443,0.999428252193348,0.00057174780665341,163335.858320468,1.77635683940025e-15
0.122688994200697,7.91686808141492,180152.468726993,177762.845116569,0.927534837172431,-32,180137.628169598,0.169476311703764,-0.985246902159151,-0.0538238950695443,-0.0188098210129407,0.999433678442915,0.000566321557083456,151831.329090849,1.33226762955019e-15
0.12307695716366,7.94186503412559,180156.949785085,177695.357103925,0.994540438492629,-32,180141.03713807,0.169377910726536,-0.985266510934685,-0.0531189136458956,-0.0187451083163078,0.999438974211495,0.000561025788505061,141459.255782815,1.11022302462516e-16
0.123464920126623,7.96686273632634,180161.420247851,177627.922397492,1.06410172571667,-32,180144.39462024,0.169278228093913,-0.985286267406057,-0.0524385785461341,-0.0186817397802432,0.999444147245574,0.00055585275442467,132079.037884461,1.33226762955019e-15
