kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,Q,radiation_A0,radiation_Am1,spectral_weight_A0,spectral_weight_Am1,peak_contrast_A0,peak_contrast_Am1
0.12036121642292,7.76690160982199,180125.359196727,178168.896764406,0.578575626734685,311325.522323336,0.000736403720957902,0.000809139157623739,0.0482183773512726,2.33612966644488,0.231214201121126,1.60795029475964
0.120749179385883,7.79189425118463,180129.904080155,178101.087359897,0.630480778469008,285702.451576023,0.000764577458648296,0.00085285917116409,0.0514428921154361,2.47689339345203,0.228796403976492,1.58605215150009
0.121137142348846,7.8168875889482,180134.438296766,178033.331706641,0.684868709106761,263020.394860361,0.000792792344372165,0.000897189401977126,0.0547691328631472,2.62075315071631,0.226528496520762,1.56532487300722
0.121525105311808,7.84188163199223,180138.961858019,177965.629730027,0.741754747545203,242855.151860071,0.000821048164682229,0.000942110419916922,0.0581976494009891,2.76767267046616,0.224398146470182,1.54567251138615
0.121913068274771,7.86687638918387,180143.474775558,177897.981355621,0.801152864798069,224855.308756791,0.000849344707440256,0.000987603720788184,0.0617290176747808,2.91761763934147,0.22239439831384,1.52700977104571
0.122301031237734,7.89187186937747,180147.977061213,177830.386509164,0.86307574260527,208727.888142726,0.000877681761806803,0.00103365165441957,0.065363837353896,3.0705555275882,0.220507481844636,1.50926053214501
0.122688994200697,7.91686808141492,180152.468726993,177762.845116569,0.927534837172431,194227.172400536,0.000906059118212288,0.00108023736051938,0.0691027297153174,3.22645543751437,0.218728652272883,1.49235661707816
0.12307695716366,7.94186503412559,180156.949785085,177695.357103925,0.994540438492629,181145.927115985,0.000934476568352158,0.00112734471127481,0.0729463357928992,3.38528796886654,0.217050055971216,1.47623675424419
0.123464920126623,7.96686273632634,180161.420247851,177627.922397492,1.06410172571667,169308.456037427,0.000962933905162078,0.00117495825977594,0.0768953147475248,3.5470250984323,0.215464617094691,1.46084570257883
0.123852883089586,7.99186119682162,180165.880127822,177560.540923704,1.136226818958,158565.06563808,0.000991430922805746,0.00122306319353279,0.0809503424353888,3.71164007228898,0.213965941378244,1.4461335083875
0.124240846052549,8.01686042440343,180170.3294377,177493.212609167,1.21092282781397,148787.623207132,0.00101996741665504,0.00127164529243553,0.0851121101415946,3.87910730872611,0.212548234078503,1.43205487119125
0.124628809015512,8.04186042785136,180174.768190351,177425.937380657,1.28819589696397,139865.969620761,0.00104854318327728,0.00132069089062776,0.0893813234723828,4.04940231114432,0.211206229691085,1.41856860033617
0.125016771978475,8.06686121593268,180179.196398804,177358.715165124,1.36805124902926,131705.00485757,0.00107715802041836,0.00137018684182351,0.0937587013674429,4.22250158882514,0.209935131482905,1.40563714729335
0.125404734941438,8.09186279740233,180183.614076246,177291.545889685,1.45049322497291,124222.306574104,0.00110581172698701,0.00142012048767821,0.0982449752398229,4.39838258562346,0.208730559261724,1.39322620150169
0.125792697904401,8.11686518100295,180188.021236023,177224.429481631,1.535525322247,117346.173733134,0.00113450410303966,0.00147047962886267,0.102840888205603,4.57702361461627,0.207588504085567,1.38130433976896
0.126180660867364,8.14186837546494,180192.417891634,177157.365868419,1.6231502308145,111014.011193045,0.00116323494976611,0.00152125249855393,0.107547194417981,4.75840379913678,0.206505288852385,1.36984272105966
0.126568623830327,8.1668723895065,180196.804056727,177090.354977678,1.71336986725623,105170.98934703,0.00119200406947255,0.00157242773808076,0.112364658472653,4.94250301852309,0.205477533882459,1.3588148198443
0.12695658679329,8.19187723183364,180201.179745102,177023.396737202,1.80618540709768,99768.9268427118,0.00122081126556935,0.00162399437449993,0.117294054891512,5.12930185871577,0.204502126765687,1.34819619239125
0.127344549756253,8.21688291114024,180205.544970702,176956.491074958,1.90159731550162,94765.3551578377,0.00124965634255617,0.0016759417999117,0.122336167669338,5.31878156688098,0.203576195861234,1.33796427128549
0.127732512719216,8.24188943610809,180209.899747614,176889.637919075,1.99960537637069,90122.7321536299,0.0012785391060086,0.00172825975233369,0.127491789878817,5.51092400971492,0.202697086937815,1.32809818422574
0.128120475682179,8.26689681540691,180214.244090064,176822.837197854,2.10020872009915,85807.7782295635,0.00130745936256134,0.00178093829799033,0.132761723332174,5.70571163523921,0.201862342526679,1.31857859379575
0.128508438645142,8.29190505769442,180218.578012417,176756.08883976,2.20340584992701,81790.9138338664,0.0013364169198976,0.00183396781488156,0.138146778284852,5.90312743734908,0.201069683617206,1.3093875553621
0.128896401608105,8.31691417161638,180222.901529173,176689.392773424,2.30919466710129,78045.7811100892,0.00136541158673365,0.00188733897750972,0.143647773184773,6.10315492317648,0.200316993391404,1.30050839074767
0.129284364571068,8.34192416580657,180227.214654963,176622.748927644,2.41757249485472,74548.8356765052,0.00139444317280688,0.00194104274266238,0.149265534464031,6.30577808304682,0.199602302734848,1.29192557565433
0.129672327534031,8.36693504888693,180231.51740455,176556.157231381,2.52853610131488,71278.9970888004,0.00142351148886243,0.00199507033615598,0.155000896359362,6.51098136237595,0.198923777293962,1.28362463906509
0.130060290496994,8.39194682946752,180235.809792823,176489.617613762,2.64208172136158,68217.3485912994,0.00145261634663933,0.00204941324045755,0.160854700769685,6.7187496357966,0.19827970589526,1.27559207319175
0.130448253459957,8.41695951614665,180240.091834797,176423.130004078,2.75820507758426,65346.8784100195,0.00148175755885822,0.00210406318310817,0.166827797142819,6.92906818311795,0.197668490153798,1.26781525264075
0.13083621642292,8.44197311751079,180244.363545608,176356.694331783,2.87690140027803,62652.2561837499,0.00151093493921057,0.00215901212588557,0.172921042385652,7.14192266683061,0.197088635135321,1.26028236174426
0.131224179385883,8.46698764213475,180248.624940514,176290.310526494,2.99816544665085,60119.6392086578,0.00154014830234273,0.00221425225463721,0.179135300801788,7.35729911127998,0.196538740941771,1.25298232905397
0.131612142348846,8.49200309858167,180252.87603489,176223.978517991,3.12199151918829,57736.5040638402,0.00156939746384921,0.00226977596973937,0.185471444050052,7.5751838831887,0.196017495120042,1.24590476821827
0.132000105311809,8.51701949540308,180257.116844225,176157.698236215,3.24837348328725,55491.499906535,0.0015986822402538,0.00232557587712489,0.191930351122724,7.79556367344933,0.195523665796965,1.23903992449497
