kappa,delta_kappa,Omega_real,Omega_imag,q_real,q_imag,A0_over_C,Am1_over_C,sigma_ratio,A0_real,A0_imag,Am1_real,Am1_imag
0.109702362520939,-0.000297742790869116,0.889981517604295,1.29598482937296e-10,4.86195518508849e-09,0.0237230188541218,2.08759397565366e-05,0.000153487164606392,6.46059006915299e-14,-2.02791515702059e-06,-2.0777209168569e-05,-1.92737497082703e-05,-0.000152272230794365
0.109783132343902,-0.000216972967906326,0.889986506018887,6.88208252423467e-11,3.02456839583817e-09,0.020250692919708,1.52120608687669e-05,0.000112345588841798,2.41347960664422e-14,-1.47303304504187e-06,-1.51405736193608e-05,-1.40704538901818e-05,-0.000111460996135575
0.1098419914288,-0.000158113883008419,0.889990139705437,3.65439954513444e-11,1.88143003070839e-09,0.0172867420453001,1.10846692728628e-05,8.21837305062237e-05,8.33223377861188e-15,-1.07087569706705e-06,-1.10328200443123e-05,-1.02731498353564e-05,-8.15391191538143e-05
0.109884883585152,-0.00011522172665672,0.8899927868729,1.94043230222427e-11,1.17029713960663e-09,0.0147566860923479,8.07707374812929e-06,6.0088531904705e-05,3.27737646939816e-15,-7.78993973737808e-07,-8.03942091954386e-06,-7.50067324549658e-06,-5.96185505302422e-05
0.109916140222588,-8.39650892202112e-05,0.889994715512024,1.03032624703645e-11,7.27940528384353e-10,0.0125969757055704,5.88551636595999e-06,4.39137774120633e-05,1.7743662014079e-15,-5.66927033904638e-07,-5.85814788411926e-06,-5.47601882822102e-06,-4.35710117439245e-05
0.109938917752723,-6.11875590856443e-05,0.889996120738716,5.470768458829e-12,4.52784360713718e-10,0.0107533809209811,4.28860405600135e-06,3.20802960334193e-05,9.15344979062679e-16,-4.12730313662088e-07,-4.268697510639e-06,-3.99740550852658e-06,-3.18302708564068e-05
0.109955516335347,-4.45889764618748e-05,0.889997144645928,2.90484275911679e-12,2.81634942579497e-10,0.00917962003429169,3.12499391089564e-06,2.34275350329691e-05,1.26744092712691e-15,-3.00547757062225e-07,-3.11050767381463e-06,-2.91762783304269e-06,-2.32451467095575e-05
0.109967612157128,-3.24931546809176e-05,0.889997890731217,1.54240917379209e-12,1.75179593780512e-10,0.00783619188567926,2.27711404774856e-06,1.71035107679554e-05,2.71047504490554e-16,-2.18897307928019e-07,-2.26656840952037e-06,-2.12919801419482e-06,-1.69704624688285e-05
0.109976426699181,-2.36786126279617e-05,0.889998434389849,8.18994830680125e-13,1.08964363766601e-10,0.00668938074690164,1.6592927446206e-06,1.24833692789069e-05,9.26774947260442e-17,-1.5945071099337e-07,-1.65161372091487e-06,-1.5535913794603e-06,-1.23863175471656e-05
0.109982850086778,-1.72552250309614e-05,0.889998830562839,6.40174777054109e-12,9.97748330199142e-10,0.0057104059780312,1.20907410584379e-06,9.10907804715692e-06,7.17076693349733e-11,-1.16171720882901e-07,-1.20348008902893e-06,-1.1334832079071e-06,-9.03828073731884e-06
0.109987530977512,-1.25743342968294e-05,0.889999119240321,3.39975394466407e-12,6.20709737855869e-10,0.00487470685869508,8.81047656551959e-07,6.6457289879645e-06,3.8064078874559e-11,-8.46352025775245e-08,-8.76973121367103e-07,-8.26816175074183e-07,-6.59409499431934e-06
0.109990942065156,-9.16324665280877e-06,0.889999329603342,1.80547124938202e-12,3.86144676214781e-10,0.0041613112922327,6.42018454461546e-07,4.84773043841178e-06,2.02058769561411e-11,-6.16636515400073e-08,-6.39050303143614e-07,-6.03046216018282e-07,-4.81007543234512e-06
0.109993427814039,-6.67749776951478e-06,0.889999482898357,9.58798882255114e-13,2.40217827969732e-10,0.00355231964514348,4.6783992788673e-07,3.53567349107106e-06,1.07274833518169e-11,-4.49291317515097e-08,-4.65677539983534e-07,-4.39789400653691e-07,-3.50821497610042e-06
0.109995239244338,-4.86606747055173e-06,0.889999594607373,5.09170800615481e-13,1.49437410236233e-10,0.00303245221807125,3.40917009242661e-07,2.57841324235893e-06,5.69426938100768e-12,-3.27372525777496e-08,-3.393415381067e-07,-3.20698036021554e-07,-2.5583916076441e-06
0.109996559281028,-3.54603078058121e-06,0.889999676012087,2.70390125461108e-13,9.29618398287989e-11,0.00258866567723311,2.48428589892484e-07,1.88012697190178e-06,3.02301346976182e-12,-2.38543732425424e-08,-2.47280676869773e-07,-2.33835223609365e-07,-1.86552901844815e-06
0.109997521226328,-2.58408548030338e-06,0.889999735337088,1.857898351396e-12,7.48262693243933e-10,0.0022098242448212,1.81023404104651e-07,1.37078378983843e-06,2.22293192453769e-11,-1.73854945955161e-08,-1.8018661829144e-07,-1.7050181542138e-07,-1.36013871697773e-06
0.109998222221056,-1.88309075208318e-06,0.889999778564131,1.35389911075544e-12,6.38757893709166e-10,0.0018864266424536,1.31916104099223e-07,9.99391792027582e-07,1.18233407165259e-11,-1.26688765497975e-08,-1.31306352046209e-07,-1.24304215375826e-07,-9.91631189511454e-07
0.10999873305427,-1.37225753854121e-06,0.889999810065156,9.86621698048196e-13,5.45278617335474e-10,0.00161035679000195,9.61302355131619e-08,7.2857215142047e-07,6.64562758515677e-12,-9.23190892709977e-09,-9.56859134741249e-08,-9.06181872323621e-08,-7.22914741839018e-07
0.109999105311808,-1e-06,0.889999833020961,7.18977046866184e-13,4.65479602603023e-10,0.00137468848920224,7.00521913501869e-08,5.31109209241333e-07,4.08785293022237e-12,-6.72739317134491e-09,-6.97284138216362e-08,-6.60573765637331e-08,-5.26985213400216e-07
0.110000105311808,0,0.889999894688192,0,0,0,0,0,0,0,0,0,0
0.110001105311808,1e-06,0.889999956356124,1.84864508535987e-13,0.0013746882188733,1.19684887285696e-10,7.00483053675856e-08,5.32151961179435e-07,4.01422147466751e-12,6.73090407098715e-09,6.97241709542515e-08,6.51407585033824e-08,5.28149970527996e-07
0.110001477569347,1.37225753854121e-06,0.889999979312762,2.53681708903764e-13,0.00161035647332945,1.4020294227748e-10,9.61253352233712e-08,7.30252388761286e-07,7.43519127867172e-12,9.23810044545753e-09,9.56803928292789e-08,8.91468604242906e-08,7.24790582560271e-07
0.110001988402561,1.88309075208318e-06,0.890000010815435,3.48116625111179e-13,0.00188642627149268,1.64238488827251e-10,1.31910637050085e-07,1.00209971649554e-06,1.38685204558587e-11,1.26795607613505e-08,1.31299828278099e-07,1.21941543133035e-07,9.946527544117e-07
0.110002689397289,2.58408548030338e-06,0.89000005404569,4.77705639896591e-13,0.00220982381026498,1.92394544465931e-10,1.81018985050496e-07,1.37514901208292e-06,2.59725188788799e-11,1.74036358643567e-08,1.8018042737049e-07,1.66706389389511e-07,1.36500688099706e-06
0.110003651342589,3.54603078058121e-06,0.890000113360775,-2.21821208867665e-13,0.00258865962766776,-7.62637540014913e-11,2.48389536433673e-07,1.8869696251372e-06,2.72738867441329e-12,2.38887420608263e-08,2.4723812370362e-07,2.27750006208514e-07,1.87317492532397e-06
0.110004971379279,4.86606747055173e-06,0.890000194762379,-4.16840242648549e-13,0.00303244249309996,-1.22339631497103e-10,3.40856076861485e-07,2.58938920662827e-06,5.13675185325413e-12,3.27909585317623e-08,3.39275136389289e-07,3.10898779997366e-07,2.5706571945709e-06
0.110006782809578,6.67749776951478e-06,0.890000306465537,-7.83006123611698e-13,0.00355230401169663,-1.96175689829533e-10,4.67745453725391e-07,3.55327293723704e-06,9.67274011621775e-12,4.50124903969439e-08,4.65574575324981e-07,4.24004131725284e-07,3.52788450247184e-06
0.110009268558461,9.16324665280877e-06,0.890000459749518,-1.47016310682944e-12,0.00416128616037125,-3.14433035979495e-10,6.41873129307346e-07,4.87593797351592e-06,1.82148900851911e-11,6.17919542231024e-08,6.38891906757391e-07,5.77608775143394e-07,4.84160502565543e-06
0.110012679646105,1.25743342968294e-05,0.890000670091757,-2.75894965577403e-12,0.00487466645729029,-5.03720011184774e-10,8.80826369463198e-07,6.69091541675376e-06,3.43046291435956e-11,8.4830591237403e-08,8.76731922500847e-07,7.85806960459206e-07,6.64461108982663e-06
