kappa,Omega_real,Omega_imag,theta_deg,frequency_hz,linewidth_hz,Q
0.109883513871691,0.889992702387429,1.97850416189362e-11,7.09215674773603,179998.545377202,8.00293912991128e-06,22491554971.9041
0.109914335721949,0.889994604195822,1.07122223222214e-11,7.09414105676197,179998.930012653,4.333034261033e-06,41541081646.0382
0.10993700957736,0.889996003032113,5.79939306806954e-12,7.09560080009083,179999.212923397,2.34582219275035e-06,76731822846.4524
0.109953689423472,0.889997031958996,3.13945631322423e-12,7.09667464992148,179999.421020993,1.26989259156787e-06,141743815355.877
0.10996595982307,0.889997788818105,1.69942337670607e-12,7.09746461975119,179999.57409364,6.87407289894709e-07,261852873456.158
0.109974986447493,0.889998345561516,9.19872010159147e-13,7.09804575521928,179999.686693444,3.72083104316896e-07,483762053705.459
0.109981626813834,0.889998755107003,4.97896711025548e-13,7.09847326317783,179999.769522878,2.01396446268114e-07,893758419566.398
0.1099865117479,0.889999056376015,2.16836563523595e-13,7.09878775617846,179999.830453697,8.77091821407943e-08,2052234738259.83
0.109990105311809,0.889999277996728,1.17360226300286e-13,7.09901911056388,179999.875275869,4.747155782856e-08,3791741487101.08
0.109992748889264,0.889999441027356,6.35194633212405e-14,7.09918930464979,179999.90824836,2.56932691027542e-08,7005722297481.58
0.109994693616543,0.889999560957987,3.4381018443773e-14,7.09931450662396,179999.932503996,1.39069304542947e-08,12943182041182.1
0.109996124240103,0.889999649183166,1.86082740678776e-14,7.09940661049361,179999.950347292,7.52694321023813e-09,23914083754804.6
0.109997176667244,0.889999714084826,1.00647907814446e-14,7.09947436599614,179999.963473472,4.07115180905665e-09,44213522834753
0.109997950877118,0.889999761829028,5.44520259704572e-15,7.09952420980843,179999.973129604,2.20255412010272e-09,81723291830490.9
0.109998520418616,0.889999796951542,2.9499644819091e-15,7.09956087702404,179999.980233035,1.19324420129211e-09,150849239441617
0.109998939397407,0.889999822789071,1.59528437857967e-15,7.09958785097781,179999.985458603,6.4528364521873e-10,278947075123203
0.10999924761591,0.889999841796209,8.63297201672933e-16,7.09960769415831,179999.989302744,3.49198909412387e-10,515465496744071
0.109999474354464,0.88999985577864,4.64631400554773e-16,7.09962229164053,179999.992130652,1.87940813474275e-10,957748286831212
0.109999641152925,0.889999866064696,2.51040211131261e-16,7.09963303016536,179999.994210978,1.0154436707986e-10,1.77262411876985e+15
0.109999763856921,0.889999873631546,1.36698932914782e-16,7.09964092987803,179999.995741352,5.52939569353125e-11,3.25532853349474e+15
0.109999854123165,0.889999879198038,7.96808541784214e-17,7.0996467412405,179999.99686716,3.22304616836853e-11,4.00820312431607e+15
0.109999920526829,0.889999883292982,3.66397257172715e-17,7.0996510163243,179999.997695351,1.48205649651666e-11,4.00820314275806e+15
0.109999969376169,0.889999886305395,1.75633192480068e-17,7.0996541612566,179999.998304603,7.10426480611846e-12,4.00820315632476e+15
0.110000005311808,0.889999888521452,-2.64131289257558e-17,7.0996564748017,179999.998752794,1.06839635263142e-11,4.00820316630499e+15
0.110000105311808,0.889999894688192,0,7.09966291282576,180000,0,Inf
0.110000205311808,0.889999900854927,-2.14553116864468e-17,7.09966935084986,180000.001247205,8.67855406862367e-12,4.00820322185003e+15
0.110000241247448,0.889999903070981,1.77161084569863e-17,7.09967166439498,180000.001695396,7.16606719009726e-12,4.00820323183025e+15
0.110000290096788,0.889999906083389,4.57946039402628e-17,7.09967480932732,180000.002304647,1.8523662212646e-11,4.00820324539692e+15
0.110000356500452,0.889999910178322,7.8762999764953e-17,7.09967908441121,180000.003132836,3.18591946859916e-11,4.00820326383887e+15
0.110000446766696,0.889999915744794,1.50649948087895e-16,7.09968489577384,180000.004258639,6.09370648640839e-11,2.9538673163881e+15
0.110000569470692,0.889999923311609,2.71932676031864e-16,7.09969279548681,180000.005789006,1.0999525275873e-10,1.63643431215917e+15
0.110000736269153,0.889999933597597,5.06149796032487e-16,7.09970353401219,180000.007869319,2.04734773182792e-10,879186300749268
0.110000963007707,0.889999947579906,9.38754758443737e-16,7.09971813149543,180000.010697202,3.79721070818942e-10,474032189757069
0.11000127122621,0.889999966586816,1.77228623631233e-15,7.09973797467781,180000.014541296,7.16879910750964e-10,251088099752633
0.110001690205001,0.889999992423924,3.31300636414808e-15,7.09976494863506,180000.01976678,1.34009262047291e-09,134319088857649
0.110002259746499,0.890000027545661,6.25212533923797e-15,7.09980161585708,180000.026870053,2.52894987466736e-09,71175798568854.1
0.110003033956373,0.890000075288427,1.17793772278304e-14,7.09985145968124,180000.036525895,4.76469247617676e-09,37777891737165.9
0.110004086383514,0.890000140187511,2.23114992617673e-14,7.09991921520506,180000.049651554,9.02487717377794e-09,19944875280358.3
0.110005517007074,0.890000228407944,4.23405303517799e-14,7.10001131911395,180000.067493891,1.71265086856903e-08,10510026929439.8
0.110007461734353,0.890000348329715,8.06807074847506e-14,7.10013652116136,180000.091747735,3.2634896776798e-08,5515571045890.58
0.110010105311808,0.890000511343974,1.54340008182597e-13,7.10030671538257,180000.124716915,6.24296736183336e-08,2883246287932.77
0.110013698875717,0.890000732934372,3.59038428676333e-13,7.10053807001856,180000.169532956,1.45229044514397e-07,1239422666001.99
0.110018583809783,0.890001034147338,6.90837253798895e-13,7.10085256348242,180000.230452439,2.79439821119006e-07,644146670763.083
0.110025224176124,0.89000144358941,1.33554818089424e-12,7.10128007229576,180000.313260958,5.4022180001535e-07,333197055831.222
0.110034250800547,0.890002000141795,2.59495312179757e-12,7.10186120934282,180000.425822127,1.04964408358094e-06,171487105617.784
0.110046521200145,0.890002756648064,5.06880339277297e-12,7.10265118208904,180000.578823413,2.05030273856108e-06,87792195483.1605
0.110063201046257,0.890003784923269,9.95579875147242e-12,7.10372503730642,180000.78678921,4.02706514003099e-06,44697758921.2338
0.110085874901668,0.890005182556042,1.96659984376629e-11,7.10518479058367,180001.069456546,7.95478682617038e-06,22628019253.0568
0.110116696751926,0.890007082141993,3.90719986373266e-11,7.10716911798093,180001.453642514,1.580440581329e-05,11389321165.8201
0.110158594631055,0.890009663811032,7.80789678504669e-11,7.10986653064626,180001.975777887,3.1582507586718e-05,5699420012.2851
