mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
independent,1,71,-0.0835145998755404,0,0,0,0,1,1,0.000555003414880382,0.00571524498923774,0.000244365031700551,0.00338915646930208,0.000994501206545859,0.00130451797072999,0,3.04775534728373,2.57464155545554
independent,1,72,0,0.4673465262,0,0,0,1,1,0.00106919584900628,0.0195123030329539,0.000751411076592801,0.0103195728237009,0.00332292556603686,0.00169562964220817,0,5.87140056931863,8.79003198041114
independent,1,73,0,0,0.291484209708949,0,0,1,1,0.0175160821824634,0.1882161272116,0.00973983680011272,0.1224279468882,0.0850907527321812,0.00895564578388259,0,96.1881165119857,84.7888521731634
independent,1,74,0,0,0,-0.698609125042762,0,1,1,0.000554036715497595,0.00861420927848718,6.12302700557738e-05,0.000845384314104001,0.00249863886542506,0.00120916077126922,0,3.04244679758095,3.8805862596525
independent,1,75,0,0,0,0,0.157462618026254,1,1,0.000214204827883081,0.00281479759797478,0.000157149076995872,0.00216872410887348,0.000674874308055358,0.000247451862918551,0,1.1762880949757,1.26802873360445
independent,1,76,-0.792438718736595,0,0,0,0,1,1,0.00652918497908202,0.0676787686233461,0.00356144665836486,0.0514180924642997,0.0103892990857179,0.0140050612764609,0,35.8544792696288,30.4883815913143
independent,1,77,0,0.127715042195884,0,0,0,1,1,0.000367328942352131,0.00651942203744045,0.00031972190849163,0.00440630417728304,0.000825795225676346,0.000317316653625622,0,2.01715650435606,2.93691257798303
independent,1,78,0,0,-0.0114571028538213,0,0,1,1,0.000581906093352774,0.0071359200059279,0.000229475652988171,0.00317806110788403,0.00326704112702355,0.000158379616724846,0,3.1954891809362,3.21463668106359
independent,1,79,0,0,0,-0.843994430652342,0,1,1,0.000661975604968879,0.0105396852548063,0.000107498678638819,0.00148456054953736,0.00300167733027707,0.00142222002759352,0,3.63518428125369,4.74798747727269
independent,1,80,0,0,0,0,-0.48394496871682,1,1,0.000391585293300152,0.0057640061538045,0.000155938121678224,0.00215117149122405,0.00205722037299106,0.00048574326548084,0,2.1503582492919,2.59660780901464
