kappa,Omega_real,Omega_imag,Q,q_real,q_imag,sigma_ratio,residual,mode_overlap,fixed_order
0.374,0.556580706125697,0.188101217292085,1.47947130310548,0.247603195366441,0.422827775661742,4.44089209833946e-16,1.06346429841213e-15,0.999989321994758,-1
0.372,0.555526810755365,0.187495228229736,1.48144253056585,0.244892314893181,0.425324192863085,4.44089179684248e-16,9.26478805313249e-16,0.999989477654491,-1
0.37,0.55445349013934,0.186898468006234,1.48330132412013,0.242193382794721,0.427866800867901,4.44089207214533e-16,1.04111473398234e-15,0.999989643229045,-1
0.368,0.553361417391229,0.186311878014091,1.48504062996289,0.239508772203887,0.430455235296913,4.44089209847379e-16,9.73984706964375e-16,0.999989818345559,-1
0.366,0.552251335935902,0.185736359154381,1.48665382063638,0.23684084218502,0.433088953444724,4.44089208119133e-16,7.72410858189025e-16,0.999990002520448,-1
0.364,0.551124055800206,0.185172764047747,1.48813476602341,0.234191918788344,0.435767234299667,4.44089202100844e-16,9.43532074103892e-16,0.999990195162865,-1
0.362,0.54998044881454,0.184621889700362,1.48947789914606,0.231564275979256,0.438489181152837,4.44089209848726e-16,1.06062919155553e-15,0.999990395581099,-1
0.36,0.548821442797694,0.18408447080864,1.49067827499748,0.228960116875455,0.441253726826161,4.44089207185992e-16,9.89545248052549e-16,0.999990602991806,-1
0.358,0.547648014833553,0.183561173871871,1.49173162080512,0.226381555730001,0.444059641463648,4.44089209571015e-16,1.24274176125567e-15,0.999990816531855,-1
0.356,0.546461183780953,0.183052592259126,1.49263437637472,0.223830601083961,0.446905542743781,4.44089209839087e-16,1.02616970429966e-15,0.999991035272404,-1
0.354,0.545262002184837,0.182559242346982,1.49338372348325,0.221309140478543,0.449789908289458,4.44089209835737e-16,8.87996255955287e-16,0.999991258234723,-1
0.352,0.544051547776467,0.182081560809321,1.49397760365809,0.21881892706512,0.452711089979823,4.4408920901847e-16,7.68041342453557e-16,0.999991484407185,-1
0.35,0.542830914761466,0.181619903101804,1.49441472407677,0.216361568385352,0.455667329809926,4.44089209828551e-16,9.86851695075783e-16,0.999991712762794,-1
0.348,0.541601205096557,0.181174543143939,1.49469455172371,0.213938517516809,0.458656776902579,4.44089209842314e-16,8.71054374162616e-16,0.999991942276606,-1
0.346,0.540363519949022,0.180745674163098,1.49481729632272,0.211551066696685,0.461677505253918,4.44089209706536e-16,8.14397030675018e-16,0.999992171942442,-1
0.344,0.539118951518072,0.180333410629734,1.49478388290733,0.209200343452471,0.464727531790445,4.44089209847555e-16,9.86810777580611e-16,0.999992530187618,-1
0.342,0.537868575375665,0.179937791182933,1.49459591517616,0.206887309188371,0.46780483432982,4.44089209677031e-16,8.54605211673699e-16,0.999992754057523,-1
0.34,0.536613443457623,0.179558782421793,1.49425563099746,0.204612760104108,0.470907369068239,4.44089209777979e-16,7.39826632372684e-16,0.999992963151168,-1
0.338,0.535354577805976,0.179196283421532,1.49376585156801,0.202377330261621,0.474033087260896,4.44089202984851e-16,9.13651279005015e-16,0.999993168116493,-1
0.336,0.534092965132309,0.178850130823936,1.49312992579827,0.200181496567287,0.477179950815032,4.4408920876732e-16,8.58115524175214e-16,0.999993368397456,-1
0.334,0.532829552241125,0.178520104349449,1.49235167149052,0.198025585403651,0.480345946573841,4.44089209377119e-16,1.1304438036458e-15,0.999993563515652,-1
0.332,0.531565242323556,0.178205932582087,1.49143531481114,0.195909780625225,0.483529099130109,4.44089209832896e-16,8.75129452288842e-16,0.999993753070057,-1
0.33,0.530300892106149,0.17790729888749,1.49038542944074,0.193834132626791,0.486727482067785,4.44089209590472e-16,6.66040049603919e-16,0.999993936735131,-1
0.328,0.52903730981785,0.17762384733751,1.48920687663241,0.191798568198208,0.489939227584967,4.44089209846818e-16,1.00114153781922e-15,0.999994114257575,-1
0.326,0.527775253921078,0.177355188530668,1.48790474722936,0.189802900894954,0.493162534500981,4.44089209828937e-16,8.91203546229629e-16,0.999994285451999,-1
0.324,0.526515432540007,0.177100905215278,1.4864843065031,0.187846841676227,0.496395674692088,4.44089209841806e-16,1.07042299684106e-15,0.999994450195795,-1
0.322,0.525258503510744,0.176860557640047,1.48495094248139,0.18593000959015,0.499636998034168,4.44089209385426e-16,7.06745683967177e-16,0.999994608423477,-1
0.32,0.524005074973513,0.176633688574631,1.48331011825106,0.184051942316321,0.50288493595642,4.44089188130368e-16,7.52713013782134e-16,0.99999476012072,-1
0.318,0.522755706425832,0.1764198279592,1.48156732855087,0.182212106407772,0.506138003728174,4.44089209736441e-16,1.04770750440955e-15,0.999994905318307,-1
0.316,0.521510910157303,0.176218497157109,1.47972806081857,0.180409907105787,0.509394801611805,4.44089209737623e-16,8.79802738796773e-16,0.999995044086153,-1
0.314,0.520271152990474,0.176029212797986,1.47779776072607,0.1786446976308,0.512654015019722,4.44089209843872e-16,1.19515144954655e-15,0.99999517652754,-1
0.312,0.519036858257621,0.175851490209668,1.47578180212966,0.176915787879889,0.515914413813164,4.44089209845301e-16,8.35481834200535e-16,0.999995302773662,-1
0.31,0.517808407949844,0.175684846446601,1.47368546127634,0.175222452485647,0.519174850876368,4.44089208831726e-16,1.1559471071755e-15,0.999995422978566,-1
0.308,0.51658614498188,0.175528802929508,1.47151389504246,0.173563938212225,0.522434260092466,4.44089209846894e-16,1.20372580338359e-15,0.999995537314514,-1
0.306,0.515370375523383,0.175382887716503,1.46927212293497,0.171939470681923,0.52569165383811,4.44089209821064e-16,7.42489324135978e-16,0.999995645967806,-1
0.304,0.514161371354572,0.17524663742969,1.46696501255511,0.170348260440128,0.528946120103151,4.44089093987313e-16,7.78480109687231e-16,0.999995749135064,-1
0.302,0.512959372211083,0.175119598863649,1.46459726820892,0.168789508377709,0.532196819330373,4.44089179239191e-16,7.38790557721308e-16,0.999995847019963,-1
0.3,0.511764588089212,0.175001330303539,1.46217342234359,0.167262410538593,0.535442981058738,4.44089209634886e-16,9.56647110351588e-16,0.999995939830403,-1
0.298,0.510577201488616,0.174891402580848,1.45969782949333,0.165766162346446,0.538683900442381,4.44089209838819e-16,7.75704911037662e-16,0.999996027776083,-1
0.296,0.509397369574711,0.174789399894424,1.45717466242918,0.1642999622885,0.541918934706863,4.44089207788359e-16,7.44712939833825e-16,0.999996111066444,-1
0.294,0.508225226247571,0.174694920423465,1.45460791022321,0.162863015097014,0.545147499594244,4.44089209831377e-16,1.03253712564139e-15,0.999996189908975,-1
0.292,0.507060884108077,0.174607576757772,1.45200137795712,0.161454534469832,0.548369065839446,4.44089209296327e-16,9.9310659141083e-16,0.999996264507801,-1
0.29,0.505904436315354,0.174526996168924,1.44935868782641,0.160073745371442,0.551583155712204,4.44089209836057e-16,7.20900841910661e-16,0.999996335062555,-1
0.288,0.504755958332335,0.174452820744243,1.44668328141376,0.158719885954946,0.55478933965171,4.44089209826206e-16,8.97346464857594e-16,0.999996401767496,-1
0.286,0.503615509558552,0.174384707403506,1.443978422928,0.157392209143814,0.55798723301475,4.44089209828702e-16,9.91752519450178e-16,0.999996464810822,-1
0.284,0.502483134851057,0.174322327816503,1.44124720322684,0.156089983910198,0.561176492952711,4.4408920983275e-16,1.08300531742412e-15,0.999996524374168,-1
0.282,0.501358865935834,0.174265368237641,1.43849254446284,0.154812496284315,0.56435681542825,4.4408920984542e-16,6.4494231457971e-16,0.999996580632261,-1
0.28,0.500242722713124,0.174213529272033,1.435717205212,0.153559050126856,0.567527932378522,4.44089209781274e-16,8.54378961426638e-16,0.999996633752697,-1
0.278,0.499134714460927,0.174166525585842,1.43292378596287,0.152328967693838,0.570689609028693,4.44089209438175e-16,8.64043569303718e-16,0.999996683895829,-1
0.276,0.49803484094148,0.174124085572048,1.43011473486075,0.151121590020742,0.573841641356824,4.44089209804789e-16,9.75393331577512e-16,0.999996731214746,-1
0.274,0.496943093415898,0.174085950981404,1.42729235361728,0.149936277150248,0.576983853709108,4.44089209821974e-16,9.51659483543272e-16,0.999996775855319,-1
0.272,0.49585945557238,0.174051876527014,1.42445880350913,0.148772408225521,0.580116096562799,4.44089209766507e-16,7.83740079890011e-16,0.999996817956311,-1
0.27,0.49478390437343,0.174021629469796,1.42161611140214,0.147629381468662,0.583238244432862,4.44089062506873e-16,1.39957513337467e-15,0.999996857649526,-1
0.268,0.49371641082756,0.173994989191011,1.41876617574762,0.146506614061875,0.586350193917429,4.44089209560362e-16,9.91332236886697e-16,0.999996895060007,-1
0.266,0.492656940690817,0.173971746757135,1.41591077250769,0.145403541946866,0.589451861876428,4.44089209841337e-16,8.53710785774623e-16,0.999996930306248,-1
0.264,0.491605455103303,0.173951704481461,1.41305156097421,0.144319619556229,0.592543183737299,4.44089206532473e-16,9.91130348733842e-16,0.99999696350043,-1
0.262,0.490561911182117,0.173934675495049,1.41019008942837,0.143254319502829,0.595624111913828,9.8722149096156e-12,1.48822140741217e-11,0.999996994748698,-1
0.26,0.489526262476381,0.173920483275704,1.4073278007754,0.142207132153082,0.598694614376949,9.41129273527745e-12,1.41849014714413e-11,0.99999702415128,-1
0.258,0.48849845953791,0.17390896127568,1.40446603773208,0.141177565307665,0.601754673257529,8.98765064620189e-12,1.35440464029074e-11,0.999997051803032,-1
0.256,0.487478450277752,0.173899952462627,1.40160604811699,0.140165143708387,0.604804283625784,8.59935627340801e-12,1.29567022084971e-11,0.999997077793413,-1
0.254,0.486466180364551,0.173893308918462,1.39874898979768,0.139169408597851,0.607843452327663,8.24457169876061e-12,1.24198316501829e-11,0.999997102206893,-1
0.252,0.485461593567011,0.173888891439128,1.3958959354714,0.138189917248876,0.610872196917291,7.92123092473813e-12,1.19306394289296e-11,0.999997125123174,-1
0.25,0.484464632060919,0.173886569146069,1.39304787724564,0.13722624248382,0.61389054467201,7.62706082275573e-12,1.14855726946792e-11,0.999997146617442,-1
0.248,0.483475236703885,0.173886219110084,1.39020573101829,0.136277972188164,0.616898531684297,7.36037862333863e-12,1.10821023220091e-11,0.999997166760615,-1
0.246,0.482493347280758,0.173887725988012,1.38737034065884,0.135344708822058,0.619896202025161,7.11942148225231e-12,1.07174551083459e-11,0.999997185619565,-1
0.244,0.481518902722416,0.173890981672521,1.38454248199378,0.13442606893295,0.622883606973887,6.90196785867136e-12,1.03881947885562e-11,0.999997203257355,-1
