point_id,k_index,kappa,root_index,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,sheet_signature,open_count,guided,cut_distance
29,11,0.1,3,0.836601620841047,0.000632111411513401,661.751714652687,4.44089209843227e-16,1.1493725752004e-14,2,1,0,0.0633983791589535
30,12,0.11,1,0.106168054099286,-4.46101383408162e-19,1.18995432482382e+17,4.44089209847263e-16,9.20421163387356e-14,0,0,1,0.00383194590071388
31,12,0.11,2,0.346044060307568,0.141571743036829,1.22215087871577,4.44089209850013e-16,3.67452083650514e-14,2,1,0,0.236044060307568
32,12,0.11,3,0.832716309224515,0.000678029126390658,614.071193119167,4.44089203736971e-16,1.13184711518919e-14,2,1,0,0.0572836907754848
33,13,0.12,1,0.114990135863956,4.11545700420978e-19,1.39705184316505e+17,4.4408920984987e-16,8.64177909964835e-14,0,0,1,0.00500986413604416
34,13,0.12,2,0.346772846140797,0.142382368454412,1.21775206405499,4.44089209850007e-16,3.26648974419427e-14,2,1,0,0.226772846140797
35,13,0.12,3,0.828543657391682,0.000728185760871344,568.909543356252,4.44089198887221e-16,9.85752114806015e-15,2,1,0,0.0514563426083178
36,14,0.13,1,0.123586755056746,3.97887093719775e-19,1.55303799755549e+17,4.44089209850062e-16,1.04033103245069e-13,0,0,1,0.00641324494325368
37,14,0.13,2,0.347603495546713,0.143236662944647,1.213388696723,4.44089209849896e-16,4.05495636604691e-14,2,1,0,0.217603495546713
38,14,0.13,3,0.824083537144631,0.000782315649938961,526.695034931826,4.44089209843184e-16,1.27838379413489e-14,2,1,0,0.0459164628553694
39,15,0.14,1,0.131937964210657,-7.58811977768154e-19,8.69371913439726e+16,4.44089209848631e-16,6.51188913365679e-14,0,0,1,0.00806203578934347
40,15,0.14,2,0.348543677694932,0.144125513280305,1.20916716881716,4.44089209850035e-16,4.47521922849764e-14,2,1,0,0.208543677694932
41,15,0.14,3,0.819334389296232,0.000840009528459356,487.693509143257,4.4408920984955e-16,1.0476395736154e-14,2,1,0,0.0406656107037676
42,16,0.15,1,0.140024913072667,1.32918061864827e-18,5.26733955897838e+16,4.44089209849631e-16,7.64380899487546e-14,0,0,1,0.00997508692733251
43,16,0.15,2,0.349600690686375,0.145038424739209,1.20520024715859,4.44089209850041e-16,3.32664512243588e-14,2,1,0,0.199600690686375
44,16,0.15,3,0.814293592366037,0.000900657185882583,452.055235404625,4.44089209806533e-16,1.21492278576258e-14,2,1,0,0.0357064076339632
45,17,0.16,1,0.147830336480734,2.47064958777452e-18,2.99173013470305e+16,4.44089209850059e-16,8.97978115992126e-14,0,0,1,0.0121696635192658
46,17,0.16,2,0.350781193452864,0.145963553498923,1.20160541807942,4.44089209849878e-16,3.42941177044165e-14,2,1,0,0.190781193452864
47,17,0.16,3,0.808957725411391,0.000963375848359358,419.855722348166,4.44089209371359e-16,1.29330029118887e-14,2,1,0,0.0310422745886093
48,18,0.17,1,0.155339032769855,-5.28032701247821e-18,1.47092246751731e+16,4.44089209850062e-16,4.98221884522711e-14,0,0,1,0.0146609672301452
49,18,0.17,2,0.352090945213148,0.146887801638221,1.19850301143568,4.44089209848379e-16,3.70276568777663e-14,2,1,0,0.182090945213148
50,18,0.17,3,0.80332274976088,0.00102692066645463,391.131844942949,4.44089208366626e-16,9.03416406219904e-15,2,1,0,0.0266772502391195
51,19,0.18,1,0.162538292702599,-5.58823780785734e-18,1.45428933316029e+16,4.44089209850062e-16,8.28772371850475e-14,0,0,1,0.0174617072974009
52,19,0.18,2,0.353534572198447,0.147796973325662,1.19601424928863,4.44089209849724e-16,5.72897923765916e-14,2,1,0,0.173534572198447
53,19,0.18,3,0.79738412882439,0.00108957244184555,365.916068634114,4.44089209805355e-16,1.29475067856197e-14,2,1,0,0.0226158711756101
54,20,0.19,1,0.169418240304069,4.60608955890271e-18,1.83906802220786e+16,4.44089209850027e-16,8.03493355476291e-14,0,0,1,0.0205817596959308
55,20,0.19,2,0.355115380706737,0.148675983516027,1.19425939653682,4.44077492576008e-16,3.87300680779361e-14,2,1,0,0.165115380706737
56,20,0.19,3,0.791136900882204,0.00114899616958516,344.273080200016,4.44089209788688e-16,2.20407746118693e-14,2,1,0,0.0188630991177964
57,21,0.2,1,0.175972054290076,-3.17400870907141e-18,2.77207894526475e+16,4.44089209850061e-16,9.41985650042147e-14,0,0,1,0.0240279457099236
58,21,0.2,2,0.356835231930385,0.149509103752504,1.19335620030566,4.44089209848312e-16,4.6398507749622e-14,2,1,0,0.156835231930385
59,21,0.2,3,0.784575717167284,0.00120206194683411,326.345792425104,4.44089207066068e-16,1.40224259312837e-14,2,1,0,0.0154242828327156
60,22,0.21,1,0.182196051105149,3.44150055156093e-18,2.64704375860861e+16,4.4408920985006e-16,7.1333809126809e-14,0,0,1,0.0278039488948507
61,22,0.21,2,0.35869448787917,0.150280224825031,1.19341878912144,4.4408920984989e-16,3.16016405517312e-14,2,1,0,0.14869448787917
62,22,0.21,3,0.77769485685821,0.00124461714710824,312.42332578541,4.44089209533827e-16,1.35141208553109e-14,2,1,0,0.0123051431417902
63,23,0.22,1,0.188089625750472,-7.08181891662495e-18,1.32797539703339e+16,4.44089209850017e-16,4.79460839360967e-14,0,0,1,0.0319103742495283
64,23,0.22,2,0.360692030182044,0.150973114031453,1.19455716501582,4.44089209849632e-16,3.41326738708086e-14,2,1,0,0.140692030182044
65,23,0.22,3,0.770488232163815,0.0012711953443584,303.056581973519,4.44089209492043e-16,1.24085407190794e-14,2,1,0,0.00951176783618535
66,24,0.23,1,0.1936550617075,-4.8216476812929e-19,2.00818345208885e+17,4.44089209850061e-16,6.24534533884745e-14,0,0,1,0.0363449382924999
67,24,0.23,2,0.362825346034184,0.15157164592684,1.19687737048561,4.44089209842147e-16,4.46906700564034e-14,2,1,0,0.132825346034184
68,24,0.23,3,0.762949401251232,0.00127464324928491,299.279583396866,4.44089088338683e-16,1.32952930368077e-14,2,1,0,0.00705059874876768
69,25,0.24,1,0.198897233617962,8.15691274860028e-18,1.21919431865992e+16,4.44089209842616e-16,6.34300961682817e-14,0,0,1,0.0411027663820378
70,25,0.24,2,0.365090669429043,0.15205998928315,1.20048235946278,4.44089209849835e-16,3.29354242724301e-14,2,1,0,0.125090669429043
71,25,0.24,3,0.755071615701702,0.00124564211875649,303.085294055198,4.44089209825054e-16,1.47168568608592e-14,2,1,0,0.00492838429829756
72,26,0.25,1,0.203823234111629,-9.47945413456714e-19,1.07507896139494e+17,4.44089209850033e-16,5.42036552012415e-14,0,0,1,0.0461767658883715
73,26,0.25,2,0.367483162007444,0.152422738506308,1.20547355863258,4.44089209849853e-16,4.18581166677351e-14,2,1,0,0.117483162007444
74,26,0.25,3,0.746847944725144,0.00117209562295235,318.595142793868,3.87922537366546e-15,5.29834368225012e-14,2,1,0,0.00315205527485563
75,27,0.26,1,0.208441958679183,-6.63071581812108e-18,1.57179077189172e+16,4.4408920985006e-16,5.50595831190768e-14,0,0,1,0.0515580413208166
76,27,0.26,2,0.369997116671069,0.15264498373137,1.21195308102034,4.44089209849512e-16,3.55527748533486e-14,2,1,0,0.109997116671069
77,27,0.26,3,0.738271543988199,0.00103835445097301,355.500736427906,4.84424705044803e-16,1.95341135591444e-14,2,1,0,0.00172845601180061
78,28,0.27,1,0.212763680348503,8.11744052215284e-18,1.31053427350568e+16,4.4408920985005e-16,7.88316915540713e-14,0,0,1,0.0572363196514973
79,28,0.27,2,0.372626168261054,0.15271231911879,1.22002655192212,4.44089209850042e-16,4.25611784140301e-14,2,1,0,0.102626168261054
80,28,0.27,3,0.729336177382022,0.000824254743353423,442.421583414108,5.66767382741005e-16,2.03919920109037e-14,2,1,0,0.000663822617978038
81,29,0.28,1,0.216799640496161,-1.31153660538943e-17,8.26510063101852e+15,4.44089209849964e-16,5.72416847876724e-14,0,0,1,0.0632003595038394
82,29,0.28,2,0.375363498421961,0.152610792740943,1.22980652835983,4.44089209849132e-16,2.69766459690339e-14,2,1,0,0.0953634984219606
83,30,0.29,1,0.22056167503175,8.0316559966342e-19,1.37307720303372e+17,4.44089209834667e-16,4.45993926141565e-14,0,0,1,0.0694383249682497
84,30,0.29,2,0.37820202545756,0.152326803539891,1.24141653559518,4.44089209849459e-16,2.44372708249228e-14,2,1,0,0.0882020254575596
85,31,0.3,1,0.224061887880622,6.12768159948923e-20,1.82827619420776e+18,4.44089209850041e-16,6.48603658137336e-14,0,0,1,0.0759381121193785
86,31,0.3,2,0.381134573827282,0.151846951174145,1.25499580623841,4.44089209850007e-16,3.65469351534357e-14,2,1,0,0.0811345738272816
87,32,0.31,1,0.227312377194522,-1.20292855868822e-17,9.44829082129381e+15,4.44089209850055e-16,3.5637230058483e-14,0,0,1,0.082687622805478
88,32,0.31,2,0.38415402143604,0.151157843385568,1.27070488977589,4.44089209850023e-16,2.86434029999336e-14,2,1,0,0.0741540214360398
89,33,0.32,1,0.230325014597893,5.68991669424161e-18,2.02397527920743e+16,4.44089209850062e-16,5.47204288661336e-14,0,0,1,0.0896749854021067
90,33,0.32,2,0.3872534257894,0.15024586309265,1.28873240772891,4.44089209849946e-16,3.43686224433053e-14,2,1,0,0.0672534257893996
91,34,0.33,1,0.233111274184735,5.93441205136304e-18,1.96406377048922e+16,4.44089209849987e-16,6.04785493976071e-14,0,0,1,0.0968887258152646
92,34,0.33,2,0.390426132394687,0.149096893959577,1.30930337321628,4.44089209850007e-16,3.63546256431673e-14,2,1,0,0.0604261323946871
93,35,0.34,1,0.235682105796576,-6.83096868963181e-18,1.72510017616022e+16,4.44089209849979e-16,5.79192599602562e-14,0,0,1,0.104317894203424
94,35,0.34,2,0.393665870627517,0.147695998730234,1.33268969373553,4.44089209850018e-16,2.38807312495064e-14,2,1,0,0.0536658706275168
95,36,0.35,1,0.238047846071127,5.41896488288116e-18,2.19643281711545e+16,4.44089209850062e-16,4.41027435849837e-14,0,0,1,0.111952153928873
96,36,0.35,2,0.396966843914706,0.146027038921242,1.35922376721206,4.44089207811576e-16,2.66449822291229e-14,2,1,0,0.0469668439147064
97,37,0.36,1,0.240218160545617,-4.26000429798222e-18,2.81945913363747e+16,4.44089209850028e-16,4.96336544257915e-14,0,0,1,0.119781839454383
98,37,0.36,2,0.400323822876758,0.144072216946732,1.3893165225075,4.44089209844798e-16,3.88891806310634e-14,2,1,0,0.0403238228767576
99,37,0.36,3,0.89745463674364,0.000427145475120707,1050.52574475947,4.44089209850054e-16,1.31356070971531e-14,3,2,0,0.25745463674364
100,38,0.37,1,0.242202010441574,8.34946259106919e-18,1.45040478833116e+16,4.44089209849906e-16,3.82470971733964e-14,0,0,1,0.127797989558426
101,38,0.37,2,0.403732252532124,0.141811511276797,1.42348194761176,4.44089209796269e-16,3.65008730788558e-14,2,1,0,0.0337322525321236
102,38,0.37,3,0.89755857754253,0.000438197106217392,1024.1493665835,4.4408920985005e-16,1.04875067887195e-14,3,2,0,0.26755857754253
103,39,0.38,1,0.244007638414619,6.70149188226355e-18,1.82054714607967e+16,4.44089209850062e-16,4.38953781377087e-14,0,0,1,0.135992361585381
104,39,0.38,2,0.407188388541196,0.13922195982501,1.46237127049855,4.44089209841798e-16,3.7063884762876e-14,2,1,0,0.0271883885411962
105,39,0.38,3,0.897653432268841,0.000448294019620225,1001.18827486177,4.44089209849766e-16,9.78670452789658e-15,3,2,0,0.277653432268841
106,40,0.39,1,0.24564256835025,-5.75857679756056e-18,2.13284095172881e+16,4.44089209847714e-16,5.28259687672913e-14,0,0,1,0.14435743164975
107,40,0.39,2,0.410689483988539,0.13627672290995,1.50682183728442,4.44089209850002e-16,3.07625092353943e-14,2,1,0,0.0206894839885394
108,40,0.39,3,0.897739539832385,0.000457462185136738,981.217212045676,4.44089209850042e-16,9.78248182890842e-15,3,2,0,0.287739539832385
109,41,0.4,1,0.247113615107467,-1.54803425431353e-17,7.98152929816948e+15,4.44089209850063e-16,3.95298482042895e-14,0,0,1,0.152886384892533
110,41,0.4,2,0.41423405956498,0.132943818475776,1.55792899705397,4.44089209850008e-16,2.33777781636141e-14,2,1,0,0.0142340595649804
111,41,0.4,3,0.897817204312984,0.000465727884586625,963.88603090609,5.73413482906298e-16,1.17751855327884e-14,3,2,0,0.297817204312984
112,42,0.41,1,0.248426900885006,-9.46787468218699e-18,1.31194649920958e+16,4.44089209850062e-16,4.54864786844223e-14,0,0,1,0.161573099114994
113,42,0.41,2,0.417822310438932,0.12918435675703,1.61715520720815,4.44089209849696e-16,2.97243571355422e-14,2,1,0,0.00782231043893244
114,42,0.41,3,0.897886696982928,0.000473116982081358,948.905588880898,4.44089209848552e-16,1.47082991045487e-14,3,2,0,0.307886696982928
115,43,0.42,1,0.24958787557175,-4.68260663535149e-18,2.66505276876642e+16,4.44089209850062e-16,4.15915495582135e-14,0,0,1,0.17041212442825
116,43,0.42,2,0.421456741233674,0.124949985350905,1.68650176328581,4.44089209846332e-16,2.81191892698369e-14,2,1,0,0.00145674123367429
117,43,0.42,3,0.897948258114964,0.00047965431862932,936.036874098182,4.45782170751682e-16,1.1963166793097e-14,3,2,0,0.317948258114964
118,44,0.43,1,0.250601339028729,-2.60398278466771e-18,4.81188547989398e+16,4.44089209849731e-16,5.02383140597816e-14,0,0,1,0.179398660971271
119,44,0.43,2,0.577473243272184,0.205039205144167,1.4082020140152,5.40439739032932e-13,3.80932372093819e-12,3,2,0,0.0074732432721839
120,44,0.43,3,0.898002098584966,0.000485363212334144,925.082572972943,1.33114032581276e-15,1.09689731616251e-14,3,2,0,0.328002098584966
121,45,0.44,1,0.2514714637343,2.04272739248322e-18,6.15528691345841e+16,4.44089209849997e-16,5.07942721805686e-14,0,0,1,0.1885285362657
122,45,0.44,2,0.579606766880799,0.207401624747409,1.39730527084031,4.44089209835952e-16,3.34327884982496e-14,3,2,0,0.0196067668807993
123,45,0.44,3,0.898048401278387,0.000490265048260113,915.880506335751,7.1121797915544e-15,3.73519383423675e-14,3,2,0,0.338048401278387
124,46,0.45,1,0.252201816614264,-1.34871334589341e-17,9.34971902599517e+15,4.44089209849513e-16,3.97926078976686e-14,0,0,1,0.197798183385736
125,46,0.45,2,0.581349355706994,0.209435073356466,1.38789875637858,4.440892096667e-16,3.30436543716166e-14,3,2,0,0.031349355706994
126,46,0.45,3,0.898087322309154,0.00049437894453729,908.298514967816,4.04692607088233e-15,2.08515749741548e-14,3,2,0,0.348087322309154
127,47,0.46,1,0.252795379186507,3.76944650309454e-18,3.35321616819569e+16,4.44089209850059e-16,4.56687988687505e-14,0,0,1,0.207204620813493
128,47,0.46,2,0.582732926327743,0.211118747353347,1.38010700999573,4.44089209809173e-16,2.04757005933247e-14,3,2,0,0.0427329263277425
129,47,0.46,3,0.898118992058974,0.000497721483495009,902.23048616705,7.60804372527125e-16,9.53382664346741e-15,3,2,0,0.358118992058974
130,48,0.47,1,0.253254565388113,1.14180877154273e-17,1.10900604243009e+16,4.44089209850059e-16,5.445552122059e-14,0,0,1,0.216745434611887
131,48,0.47,2,0.583783216583532,0.212439010578621,1.37400191940614,4.4408920980884e-16,3.04220163014582e-14,3,2,0,0.0537832165835319
132,48,0.47,3,0.898143516044217,0.000500306498593211,897.593293880517,4.49812576126998e-15,2.41667432208844e-14,3,2,0,0.368143516044217
133,49,0.48,1,0.253581236634701,1.58692563020584e-17,7.98970133848706e+15,4.44089209850063e-16,3.27019111181268e-14,0,0,1,0.226418763365299
134,49,0.48,2,0.584519805614425,0.213387161256001,1.36962271341427,5.17056380835418e-16,2.63555838857757e-14,3,2,0,0.0645198056144253
135,49,0.48,3,0.898160975616557,0.000502144909678395,894.324485128999,4.07826208871594e-15,2.38846890243138e-14,3,2,0,0.378160975616557
136,50,0.49,1,0.25377671379861,1.11903703292422e-18,1.13390668195963e+17,4.44089209850058e-16,2.8648085400674e-14,0,0,1,0.23622328620139
137,50,0.49,2,0.584956375968359,0.213957917571993,1.36698931875594,6.3673242329351e-16,2.49332218978556e-14,3,2,0,0.0749563759683594
138,50,0.49,3,0.8981714285025,0.000503244600687123,892.380591144098,5.06819532637116e-15,2.5084472000767e-14,3,2,0,0.3881714285025
139,51,0.5,1,0.253841785895043,1.54344416789394e-17,8.2232254063785e+15,4.44089209850059e-16,3.55190007544269e-14,0,0,1,0.246158214104957
140,51,0.5,2,0.585101000483139,0.214148459388618,1.36611069291269,6.77846561952867e-16,2.91752144123692e-14,3,2,0,0.0851010004831387
141,51,0.5,3,0.898174909185858,0.000503610335366221,891.735977313406,1.24911032472444e-15,1.18609316573768e-14,3,2,0,0.398174909185858
