x_m,y_m,pressure_real_pa,pressure_imag_pa,pressure_abs_pa
0.0161756,0.02,-0.013583455496704,-0.288019752436295,0.288339882875567
0.016324,0.02,-0.00655684419641564,-0.29395300100337,0.294026119596038
0.0164724,0.02,0.000938226338230431,-0.299767853779792,0.299769322026795
0.0166208,0.02,0.00884129572687846,-0.305339181305964,0.305467157237446
0.0167692,0.02,0.0171008222323284,-0.310647351399113,0.311117686820125
0.0169176,0.02,0.0257171529202291,-0.315688878384539,0.316734652177514
0.017066,0.02,0.0347347516847747,-0.320398980827108,0.322276294333996
0.0172144,0.02,0.0441842465089476,-0.324769150103782,0.327760962438629
0.0173628,0.02,0.0540643652476403,-0.328792061153146,0.333207405480377
0.0175112,0.02,0.0642657834117096,-0.332361493823134,0.33851772995497
0.0176596,0.02,0.0747182513674157,-0.335480712659435,0.343700633769981
0.017808,0.02,0.0854211503981352,-0.33814578462927,0.348768325106919
0.0179564,0.02,0.0963898940998964,-0.340301768238822,0.353689560421365
0.0181048,0.02,0.107643362010815,-0.341950537079055,0.358493044833014
0.0182532,0.02,0.119178088044477,-0.343084315096686,0.363194526301401
0.0184016,0.02,0.130846212567311,-0.343639453557724,0.367707499766678
0.01855,0.02,0.142571872962195,-0.343650949212884,0.372052031112403
0.0186984,0.02,0.154353365780007,-0.343114739691002,0.376234881584417
0.0188468,0.02,0.166189453986556,-0.34199913499761,0.380239849247108
0.0189952,0.02,0.178096249217463,-0.340320884607952,0.384104905573553
0.0191436,0.02,0.190067434774928,-0.338072500127154,0.387838426544026
0.019292,0.02,0.201937983849421,-0.335247667077705,0.391369323787918
0.0194404,0.02,0.213643614691217,-0.331910046875465,0.394725060409397
0.0195888,0.02,0.225181887964346,-0.328055965634824,0.397904007589499
0.0197372,0.02,0.23655445506424,-0.32368193985317,0.400908977696747
0.0198856,0.02,0.247782295341387,-0.318815269221977,0.403781180559134
0.020034,0.02,0.258846312432413,-0.31344800851477,0.406510845490909
0.0201824,0.02,0.269590259723783,-0.307640261561298,0.409049433041339
0.0203308,0.02,0.280001700857757,-0.301464226857742,0.411438491828576
0.0204792,0.02,0.290101859275494,-0.294910885814795,0.413680455577932
0.0206276,0.02,0.299873929409718,-0.28798762382844,0.415765853597882
0.020776,0.02,0.309259407198612,-0.280751851321376,0.417687661969104
0.0209244,0.02,0.3183176263702,-0.273249479595326,0.419513276735165
0.0210728,0.02,0.326991973911121,-0.265482453775145,0.421194354502483
0.0212212,0.02,0.33523608904505,-0.257510813189113,0.422723377999773
0.0213696,0.02,0.343084529878556,-0.249394243350952,0.424151486215224
0.021518,0.02,0.350535719273204,-0.241135517391891,0.425466365573399
0.0216664,0.02,0.357570220045139,-0.232767869607028,0.42665834503092
0.0218148,0.02,0.364214236183368,-0.224344284556718,0.427764383571026
0.0219632,0.02,0.370434428455571,-0.215908262649063,0.428763388905049
0.0221116,0.02,0.376263507561614,-0.207476040822101,0.429674917394281
