x_m,y_m,incident_real_pa,incident_imag_pa,reflected_real_pa,reflected_imag_pa,incident_abs_pa,reflected_abs_pa
0.006307,0.02,-0.0105685698546005,-0.00931025618393913,0.0181223154164798,0.0448534432617116,0.0140845851547764,0.0483761272580388
0.0063812,0.02,-0.0104319305985827,-0.0096687351576846,0.0178108826655958,0.0449317301189185,0.0142235584704775,0.0483330933502807
0.0064554,0.02,-0.0102786960216047,-0.0100269374808246,0.0175080025469278,0.0450135729726038,0.0143593546912428,0.04829857042339
0.0065296,0.02,-0.0101088661236666,-0.0103848631533592,0.0172136750604759,0.0450989718227675,0.0144925690276159,0.0482724338371128
0.0066038,0.02,-0.00992244090476839,-0.0107425121752883,0.01692790020624,0.0451879266694096,0.0146238299137004,0.0482545595987815
0.006678,0.02,-0.00971930096093222,-0.0110997762100171,0.0166505795463693,0.0452801880462312,0.0147536382998107,0.0482445564673574
0.0067522,0.02,-0.00949922160835155,-0.0114530638523354,0.0163806873329087,0.0453751315224436,0.0148797810054532,0.0482413668771685
0.0068264,0.02,-0.00926399951421385,-0.0118012047191858,0.0161190098930644,0.045476382662031,0.0150030036933771,0.0482485632942182
0.0069006,0.02,-0.00901363467851912,-0.0121441988105683,0.0158655472268364,0.0455839414649934,0.0151237288678557,0.0482660471583382
0.0069748,0.02,-0.00874812710126737,-0.0124820461264828,0.0156202993342247,0.0456978079313309,0.0152424146146066,0.0482937200991971
0.007049,0.02,-0.00846747678245857,-0.0128147466669295,0.0153832662152294,0.0458179820610435,0.0153595538736988,0.0483314841443414
0.0071232,0.02,-0.00817164279239805,-0.0131422487136705,0.0151544151886084,0.0459443591366556,0.0154756081359837,0.0483791322388767
0.0071974,0.02,-0.00785998182314688,-0.0134624678903037,0.014928691784111,0.0460798369027027,0.0155890139507814,0.0484377663333546
0.0072716,0.02,-0.00753259568984052,-0.0137744950258837,0.0147024710051687,0.0462283844480285,0.0156995767791587,0.0485100626914927
0.0073458,0.02,-0.007189484392479,-0.0140783301204104,0.0144757528517813,0.0463900017726331,0.0158078482029957,0.0485960871376571
0.00742,0.02,-0.0068306479310623,-0.0143739731738838,0.014248537323949,0.0465646888765165,0.0159144228912536,0.0486959039965247
0.0074942,0.02,-0.00645608630559042,-0.0146614241863041,0.0140208244216716,0.0467524457596787,0.0160199378761584,0.0488095759249662
0.0075684,0.02,-0.00606571756021501,-0.0149405024004918,0.0137924645897973,0.0469529995967049,0.0161248733793292,0.0489368598358025
0.0076426,0.02,-0.00566121430486135,-0.0152076308712939,0.0135611131164651,0.0471644548115469,0.0162271804119846,0.049075346016386
0.0077168,0.02,-0.00524508694086903,-0.0154624911401347,0.0133270019393342,0.0473891538483211,0.0163278770596798,0.0492274403473395
0.007791,0.02,-0.00481733546823803,-0.0157050832070142,0.0130901310584047,0.0476270967070275,0.0164273053040596,0.0493932371065793
0.0078652,0.02,-0.00437795988696837,-0.0159354070719325,0.0128505004736767,0.047878283387666,0.0165258503962762,0.049572829075751
0.0079394,0.02,-0.00392696019706005,-0.0161534627348895,0.01260811018515,0.0481427138902368,0.0166239398073007,0.0497663073088418
0.0080136,0.02,-0.00346432012168889,-0.0163591701989688,0.0123629019617159,0.0484202516794518,0.0167219605161705,0.0499736142140675
0.0080878,0.02,-0.00299051279294646,-0.0165505465703604,0.0121082454972623,0.0487115927224786,0.0168185539967753,0.0501939127243793
0.008162,0.02,-0.00250612919565969,-0.0167270688014156,0.0118396333687161,0.049019090555923,0.0169137670030254,0.0504286442137342
0.0082362,0.02,-0.00201116932982863,-0.0168887368921345,0.0115570655760772,0.0493427451797848,0.0170080638488038,0.0506781241425422
0.0083104,0.02,-0.00150563319545328,-0.0170355508425169,0.0112605421193456,0.049682556594064,0.017101956725101,0.0509426760049365
0.0083846,0.02,-0.000989520792533595,-0.0171675106525629,0.0109500629985213,0.0500385247987608,0.0171960045767823,0.0512226301912327
0.0084588,0.02,-0.000462833156333723,-0.0172843808008758,0.01062541789391,0.0504102953798317,0.017290576456564,0.0515179326613763
0.008533,0.02,7.10279364990071e-05,-0.0173835428154225,0.0102841885017131,0.0507936996056333,0.0173836879223999,0.0518243615760588
0.0086072,0.02,0.000609403258907725,-0.0174658340596407,0.00992705973322736,0.051189818116974,0.0174764622201083,0.0521434942614699
0.0086814,0.02,0.00115229281089239,-0.0175312545335305,0.0095540315884529,0.0515986509138537,0.0175690826237874,0.0524757114837225
0.0087556,0.02,0.00169969659245301,-0.0175798042370917,0.00916510406738969,0.0520201979962725,0.0176617803610187,0.0528213984303471
0.0088298,0.02,0.00225161460358961,-0.0176114831703244,0.0087602771700377,0.0524544593642303,0.0177548333639525,0.0531809436103721
0.008904,0.02,0.00280802179830827,-0.0176261979780482,0.00833947659921902,0.0529012362998242,0.0178484688861853,0.053554529892426
0.0089782,0.02,0.00336761045212773,-0.0176226549265203,0.00789563481959116,0.0533585489573056,0.0179415374708103,0.0539395568765032
0.0090524,0.02,0.00392965418442789,-0.0176009230658204,0.0074241247906009,0.0538271445222301,0.0180342639100719,0.0543367197788333
0.0091266,0.02,0.00449415299520873,-0.0175610023959485,0.00692494651224823,0.0543070229945974,0.0181269472414649,0.054746759088856
0.0092008,0.02,0.00506110688447027,-0.0175028929169045,0.00639809998453314,0.0547981843744077,0.0182199358768536,0.055170433151677
0.009275,0.02,0.00563051585221249,-0.0174265946286885,0.00584358520745566,0.0553006286616609,0.0183136263234415,0.0556085157008503
0.0093492,0.02,0.00620226305703075,-0.0173318597197706,0.00526116940121587,0.0558138451270783,0.0184081891660862,0.0560612630194662
0.0094234,0.02,0.00677189086460048,-0.0172177634643483,0.00465005751246167,0.0563311998347391,0.0185016184318104,0.0565228016794153
0.0094976,0.02,0.00733724437136641,-0.0170862650433844,0.00401214620974952,0.0568531111050097,0.0185950425677902,0.0569945046432284
0.0095718,0.02,0.00789832357732854,-0.016937364456879,0.00334743549307943,0.0573795789378902,0.0186884410820521,0.0574771380939405
0.009646,0.02,0.00845512848248687,-0.0167710617048321,0.00265592536245138,0.0579106033333805,0.0187818451799243,0.0579714750370133
0.0097202,0.02,0.00900765908684141,-0.0165873567872436,0.00193761581786539,0.0584461842914807,0.0188753364847378,0.0584782935223949
0.0097944,0.02,0.00955584316648339,-0.0163861664403464,0.00119244849831632,0.0589860344128255,0.0189689374829789,0.0589980863178813
0.0098686,0.02,0.0100981001936542,-0.0161672121198709,0.000414161133083006,0.0595256515996468,0.0190617516312111,0.0595270923849527
0.0099428,0.02,0.0106339657314076,-0.0159311249070741,-0.000401388915104795,0.0600645383992999,0.0191541632023315,0.060065879550558
0.010017,0.02,0.0111634397797436,-0.0156779048019561,-0.00125420164624708,0.0606026948117847,0.0192462746186154,0.0606156715727853
0.0100912,0.02,0.011686522338662,-0.0154075518045169,-0.00214427706034385,0.0611401208371013,0.019338238207782,0.0611777108111023
0.0101654,0.02,0.0122032134081631,-0.0151200659147564,-0.00307161515739511,0.0616768164752497,0.0194302550356847,0.061753255057501
0.0102396,0.02,0.012713274742511,-0.0148152441106994,-0.00403637587414833,0.0622120535141022,0.0195222645391916,0.0623428579120249
0.0103138,0.02,0.0132121780596764,-0.0144941404895893,-0.00503609877226117,0.0627374848366085,0.0196122858844284,0.0629392905462689
0.010388,0.02,0.0136988112270952,-0.0141594724834807,-0.00606742705986665,0.0632538096906619,0.0197014743114833,0.0635441430149882
0.0104622,0.02,0.0141731742447674,-0.0138112400923734,-0.00713036073696479,0.0637610280762622,0.019789624075806,0.0641584814781424
0.0105364,0.02,0.0146352671126929,-0.0134494433162676,-0.00822489980355549,0.0642591399934095,0.0198765834332101,0.0647833778794463
0.0106106,0.02,0.0150850898308717,-0.0130740821551631,-0.00935104425963883,0.0647481454421039,0.0199622533649241,0.0654199080321698
0.0106848,0.02,0.0155225320029707,-0.0126851074424045,-0.01050878509515,0.0652276592227754,0.0200464697792054,0.066068767900261
0.010759,0.02,0.0159463860134021,-0.0122832079894434,-0.0117025765148375,0.0656913785661788,0.0201286965648636,0.0667256136353248
0.0108332,0.02,0.0163567524947121,-0.0118693319597525,-0.0129357795616461,0.0661381161065801,0.020209512446966,0.0673912812980653
0.0109074,0.02,0.0167536314469009,-0.0114434793533318,-0.0142083942355759,0.0665678718439793,0.0202888488182232,0.0680673198281672
0.0109816,0.02,0.0171370228699683,-0.0110056501701812,-0.0155204205366268,0.0669806457783765,0.0203666857518406,0.0687552933418372
0.0110558,0.02,0.0175069267639144,-0.0105558444103008,-0.0168718584647988,0.0673764379097715,0.0204430510426292,0.0694567778799557
0.01113,0.02,0.0178630111896835,-0.0100939577530345,-0.0182626538840871,0.0677542875031396,0.0205176790081823,0.0701724162470415
0.0112042,0.02,0.01820167579837,-0.0096227602334105,-0.0196860408321242,0.0681056728500441,0.0205887958943372,0.07089374357446
