x_m,y_m,pressure_real_pa,pressure_imag_pa,pressure_abs_pa
0.0057876,0.02,-0.260962243484005,0.146317383129382,0.299182334254607
0.005936,0.02,-0.271584720470507,0.13067625864502,0.301387698764405
0.0060844,0.02,-0.280944737645621,0.114483167163453,0.303374918499441
0.0062328,0.02,-0.289041217406126,0.0977382093983561,0.305118965218506
0.0063812,0.02,-0.295847900438213,0.0805515948375707,0.306617904931487
0.0065296,0.02,-0.301384323114079,0.063020116663274,0.307902655596187
0.006678,0.02,-0.305647159533415,0.0451437269412961,0.308963011075752
0.0068264,0.02,-0.308547700595188,0.0271590389844621,0.309740693066212
0.0069748,0.02,-0.310129783687346,0.00928303090206871,0.310268685807461
0.0071232,0.02,-0.310392361801452,-0.00848370535558311,0.310508279311911
0.0072716,0.02,-0.309378427266293,-0.0260408357789008,0.310472440622076
0.00742,0.02,-0.307163287417833,-0.0433183012445778,0.310202772972852
0.0075684,0.02,-0.303743614543999,-0.0603147057296073,0.309674098212141
0.0077168,0.02,-0.299146284176637,-0.0767971765955837,0.308846734918378
0.0078652,0.02,-0.2935036166654,-0.0926019867566242,0.307765334219018
0.0080136,0.02,-0.286814862988964,-0.10772815560628,0.30637904814414
0.008162,0.02,-0.279176387733387,-0.122122831968959,0.304718626860881
0.0083104,0.02,-0.270696992299718,-0.135768727343551,0.30283660440013
0.0084588,0.02,-0.261374082838808,-0.148663200712444,0.300694460251426
0.0086072,0.02,-0.251327133063325,-0.160631593215547,0.298274766872418
0.0087556,0.02,-0.240736332357327,-0.171594652351432,0.295632722195069
0.008904,0.02,-0.229601386771779,-0.181551264851909,0.292707462455012
0.0090524,0.02,-0.218038381959541,-0.190518525778615,0.289548000636149
0.0092008,0.02,-0.206157524782519,-0.198541533582218,0.286216116914533
0.0093492,0.02,-0.193957453905001,-0.205616988803692,0.282662059728588
0.0094976,0.02,-0.181603536582581,-0.211660506212246,0.278890685375695
0.009646,0.02,-0.169275248113071,-0.216682319056906,0.274964246795143
0.0097944,0.02,-0.156972711393971,-0.220681489939302,0.270814977658558
0.0099428,0.02,-0.144791120536168,-0.223745454585603,0.266507968049432
0.0100912,0.02,-0.132810319666989,-0.22597290291644,0.262111300524283
0.0102396,0.02,-0.121030241041892,-0.227360633200186,0.257567810053679
0.010388,0.02,-0.109607366221621,-0.227915967724168,0.252902081987643
0.0105364,0.02,-0.0986785101118586,-0.227718574744309,0.248179768799706
0.0106848,0.02,-0.0882439719498651,-0.226767914365681,0.243332458934786
0.0108332,0.02,-0.0783432377971929,-0.225200253701073,0.238438287981555
0.0109816,0.02,-0.0690037067785015,-0.223144392865067,0.233569971563753
0.01113,0.02,-0.0602261929398579,-0.220597851286641,0.22867139372539
0.0112784,0.02,-0.0521127863061423,-0.217632096575125,0.223784431889875
0.0114268,0.02,-0.0447337358844816,-0.214359568779942,0.218977468826601
0.0115752,0.02,-0.0380891576496098,-0.210780139699084,0.21419395701565
0.0117236,0.02,-0.0321444218200008,-0.207042523142109,0.209522958749615
0.011872,0.02,-0.0268678660389767,-0.203275373471674,0.205043311730807
0.0120204,0.02,-0.0222604565998218,-0.199477152743006,0.200715376577105
0.0121688,0.02,-0.0183472541304512,-0.19573746134468,0.196595461564573
0.0123172,0.02,-0.0151311163656956,-0.192160866260109,0.192755672301252
0.0124656,0.02,-0.0126116448802595,-0.188747410754821,0.189168281308561
0.012614,0.02,-0.0106832822573061,-0.185618469641283,0.185925653936623
0.0127624,0.02,-0.00926484502249115,-0.182874890769341,0.183109429105082
0.0129108,0.02,-0.00835670031679071,-0.180515772698014,0.180709099474668
0.0130592,0.02,-0.00791289613372204,-0.178600151551343,0.178775356409618
0.0132076,0.02,-0.00788884377011296,-0.177192752750971,0.177368276429287
0.013356,0.02,-0.00828348430207035,-0.176293351256206,0.176487851732992
0.0135044,0.02,-0.00894343510324464,-0.175964951514463,0.176192080392205
0.0136528,0.02,-0.00975947407062489,-0.176263376205265,0.176533354144235
0.0138012,0.02,-0.0107309239282424,-0.177187603042598,0.177512251409121
0.0139496,0.02,-0.011772037605719,-0.178730515335473,0.179117776843825
0.014098,0.02,-0.0128231728268019,-0.180902560568543,0.181356472676333
0.0142464,0.02,-0.0138827497909054,-0.183702749232163,0.184226574676977
0.0143948,0.02,-0.0147848040294713,-0.187122418509397,0.187705593787175
0.0145432,0.02,-0.0154180673373216,-0.191169642489864,0.191790377782934
0.0146916,0.02,-0.015780900354851,-0.195842317286391,0.196477098044818
0.01484,0.02,-0.015793021535893,-0.201055444586939,0.201674766213537
0.0149884,0.02,-0.0154133108455051,-0.206771093448246,0.207344773835763
0.0151368,0.02,-0.0146400968749429,-0.212987132094802,0.213489697349723
0.0152852,0.02,-0.0133310318710437,-0.219630750514564,0.220034958545994
0.0154336,0.02,-0.0113950935870002,-0.226673412753398,0.226959653258303
0.015582,0.02,-0.00883032209214678,-0.234111034605861,0.234277508763598
0.0157304,0.02,-0.00560651968747209,-0.24179531791609,0.241860308502964
0.0158788,0.02,-0.00172499189716219,-0.249662765316402,0.249668724478014
0.0160272,0.02,0.00281540772972344,-0.257710026280845,0.257725404580841
0.0161756,0.02,0.00810713301116662,-0.265824904083215,0.265948501098448
0.016324,0.02,0.0142086505228516,-0.273961945684739,0.274330154071783
0.0164724,0.02,0.0211210160845407,-0.282114742726416,0.282904268939222
0.0166208,0.02,0.0287944686799103,-0.290108160224043,0.291533644808172
0.0167692,0.02,0.0371779457628518,-0.297882890355652,0.30019396399292
