theta_deg,frequency_hz,central_six_probe_rms_pa,coherent_probe_real_pa,coherent_probe_imag_pa,coherent_probe_abs_pa,coherent_probe_phase_rad
6.95,180068,0.567779462668657,-0.137746320583619,0.000892062463723642,0.137749209107582,3.1351166185918
6.95,180070,0.567503034880968,-0.137777761333229,0.000817799291689736,0.137780188393243,3.13565708256737
6.95,180072,0.567239053793937,-0.137810627827003,0.000748264898240036,0.137812659224147,3.13616304662176
6.95,180074,0.56698704904293,-0.13784483577195,0.000683333969986285,0.137846529496793,3.13663542491519
6.95,180076,0.566746566675164,-0.137880314244389,0.00062288467003709,0.137881721201339,3.13707510925342
6.95,180078,0.566517169814961,-0.137917004893942,0.000566799266276138,0.137918169580096,3.13748296402893
6.95,180080,0.566298439123342,-0.137954861172311,0.000514964676733454,0.137955822311673,3.13785982184678
6.95,180082,0.56608997307128,-0.137993847584254,0.000467272938404687,0.137994638718703,3.13820647978104
6.95,180084,0.565891388056085,-0.138033938969053,0.000423621609611939,0.138034589007902,3.13852369618109
6.95,180086,0.565702318377855,-0.13807511981445,0.000383914113207373,0.13807565354479,3.13881218796805
6.95,180088,0.565522416099116,-0.138117383602822,0.00034806002940226,0.138117822163084,3.13907262835087
6.95,180090,0.565351350801729,-0.138160732189566,0.000315975342470835,0.138161093508896,3.13930564492554
6.95,180092,0.565188809261069,-0.138205175219543,0.000287582651031071,0.138205474425747,3.13951181808195
6.95,180094,0.565034495047842,-0.138250729574278,0.000262811346091777,0.138250979373109,3.13969167968299
6.95,180096,0.564888128072199,-0.138297418854505,0.000241597762509741,0.138297629883152,3.13984571197121
6.95,180098,0.564749444078647,-0.138345272894658,0.000223885309612241,0.138345454052272,3.13997434665756
6.95,180100,0.564618194103777,-0.138394327307402,0.000209624584922334,0.138394486065504,3.14007796416077
6.95,180102,0.564494143902926,-0.138444623059882,0.000198773476075664,0.138444765755472,3.14015689295787
6.95,180104,0.564377073354482,-0.138496206078404,0.000191297253546737,0.138496338192571,3.14021140902499
6.95,180106,0.564266775842451,-0.138549126874995,0.0001871686591803,0.138549253299794,3.14024173533038
6.95,180108,0.564163057633315,-0.138603440206557,0.00018636799298453,0.138603565502917,3.1402480413609
6.95,180110,0.564065737235176,-0.138659204748357,0.000188883200253194,0.138659333397756,3.14023044266579
6.95,180112,0.563974644755139,-0.138716482791842,0.000194709965032847,0.138716619444499,3.14018900037398
6.95,180114,0.563889621253694,-0.13877533996234,0.000203851805569773,0.138775489684676,3.14012372071596
6.95,180116,0.563810518093169,-0.138835844949447,0.000216320184194133,0.138836013473626,3.14003455446041
6.95,180118,0.563737196288987,-0.138898069257175,0.000232134623581274,0.138898263235558,3.13992139632396
6.95,180120,0.563669525852388,-0.138962086953618,0.000251322837850972,0.138962314221064,3.13978408429337
7.05,179960,0.611935945488791,-0.14323421963598,0.0113880178979988,0.14368621585376,3.0622532817672
7.05,179962,0.611207567347783,-0.142878175523149,0.0112932288829083,0.143323794463535,3.06271567636554
7.05,179964,0.610456754166762,-0.142524849379699,0.0111877340603852,0.14296327529863,3.06325655943831
7.05,179966,0.609684113742448,-0.142174983395661,0.0110715150483819,0.142605414865716,3.06387703725216
7.05,179968,0.608890420274009,-0.141829333777445,0.0109446182100652,0.142250991516818,3.06457775987388
7.05,179970,0.608076615200979,-0.141488663800448,0.0108071573743053,0.141900798569103,3.06535888764599
7.05,179972,0.607243805533917,-0.141153736362133,0.0106593156666837,0.141555636763332,3.06622006336377
7.05,179974,0.606393259551363,-0.140825306169352,0.0105013463597353,0.141216306186852,3.06716039119237
7.05,179976,0.605526399801062,-0.14050411170974,0.0103335726690562,0.140883597808438,3.0681784232706
7.05,179978,0.604644793417801,-0.14019086717303,0.0101563864473995,0.140558284794582,3.06927215478777
7.05,179980,0.603750139851969,-0.139886254497925,0.00997024576200804,0.140241113793399,3.0704390280858
7.05,179982,0.602844256176576,-0.139590915724743,0.00977567136747148,0.139932796382967,3.07167594612584
7.05,179984,0.601929060225732,-0.139305445831846,0.00957324212649794,0.13963400088525,3.07297929533156
7.05,179986,0.601006551882791,-0.139030386220383,0.00936358945751381,0.139345344737877,3.07434497756821
7.05,179988,0.600078792898153,-0.138766219004793,0.00914739091858202,0.139067387612997,3.07576845072364
7.05,179990,0.59914788566501,-0.138513362229013,0.00892536306726477,0.138800625437597,3.0772447770427
7.05,179992,0.598215951418421,-0.138272166125572,0.00869825375525379,0.138545485467584,3.07876867814078
7.05,179994,0.597285108326464,-0.138042910468827,0.00846683402711801,0.138302322500916,3.08033459542875
7.05,179996,0.596357449954825,-0.137825803080611,0.0082318898128507,0.138071416320346,3.0819367544565
7.05,179998,0.595435024555376,-0.137620979480753,0.00799421359188257,0.137852970385823,3.08356923166552
7.05,180000,0.594519815599768,-0.137428503662932,0.0077545962115565,0.137647111780222,3.08522602193777
7.05,180002,0.593613723919213,-0.137248369918232,0.00751381902873562,0.137453892347974,3.086901105363
7.05,180004,0.592718551775178,-0.137080505662181,0.00727264651942757,0.137273290992806,3.08858851180702
7.05,180006,0.591835989076533,-0.136924775096494,0.00703181949605082,0.137105216970947,3.09028238184226
7.05,180008,0.590967601934173,-0.136780983640177,0.00679204902819247,0.136949514112229,3.09197702297202
7.05,180010,0.590114823626971,-0.136648882951498,0.00655401115237432,0.136805965783944,3.09366696013406
7.05,180012,0.589278948015702,-0.136528176427441,0.00631834241519609,0.136674300471881,3.0953469798316
7.05,180014,0.588461125346979,-0.136418525004913,0.0060856362894313,0.136554197788143,3.0970121672982
7.05,180016,0.587662360356104,-0.136319553162177,0.00585644044445719,0.136445294785181,3.09865793660599
7.05,180018,0.586883512509832,-0.136230854961335,0.00563125486714923,0.136347192398212,3.10028005355341
7.05,180020,0.586125298199494,-0.136152000025308,0.00541053078346028,0.136259461888891,3.10187465157541
7.05,180022,0.585388294664733,-0.136082539344928,0.00519467032779212,0.136181651166295,3.10343824099281
7.05,180024,0.58467294540578,-0.136022010822937,0.00498402688941146,0.136113290873263,3.10496771209614
7.05,180026,0.583979566841203,-0.135969944486489,0.00477890606572144,0.136053900153006,3.10646033260078
7.05,180028,0.583308355955146,-0.135925867310787,0.00457956713091973,0.136002992023324,3.10791374019959
7.05,180030,0.582659398705702,-0.135889307616974,0.00438622494851807,0.135960078309479,3.10932593082145
7.05,180032,0.582032678946636,-0.135859799010166,0.00419905223549433,0.135924674091053,3.11069524337219
7.05,180034,0.581428087672847,-0.135836883859013,0.00401818210431639,0.135896301656633,3.1120203416165
7.05,180036,0.580845432388254,-0.135820116308029,0.00384371080630745,0.135874493951915,3.11330019387975
7.05,180038,0.580284446431908,-0.135809064834353,0.00367570060809343,0.135858797529427,3.11453405119059
7.05,180040,0.579744798123897,-0.135803314370098,0.00351418274080471,0.135848775019282,3.11572142442331
7.05,180042,0.579226099609899,-0.135802468008984,0.003359160365934,0.135844007139421,3.11686206095812
7.05,180044,0.578727915310804,-0.135806148333066,0.00321061151331979,0.135844094282204,3.11795592128574
7.05,180046,0.578249769906581,-0.135813998387904,0.00306849195341125,0.135848657707678,3.11900315592005
7.05,180048,0.577791155798285,-0.135825682339094,0.00293273796938616,0.135857340379081,3.12000408294636
7.05,180050,0.577351540014421,-0.13584088584785,0.00280326900664868,0.135869807481472,3.12095916643404
7.05,180052,0.576930370546202,-0.135859316200216,0.00267999018321234,0.13588574666157,3.1218689958864
