orders,amplitudes
139,4.00937818486005e-05
140,5.62179554085696e-05
141,3.60966235597953e-05
142,2.42612008341773e-07
143,1.68664842565275e-05
144,1.16978749455556e-05
145,1.35974105495155e-05
146,3.37489211177906e-05
147,4.64591875277409e-05
148,2.79329123427407e-05
149,6.6152046585437e-06
150,2.35296588475979e-05
151,1.73598615389934e-05
152,1.39176864445774e-05
153,2.72892478825676e-05
154,3.72374107502414e-05
155,2.0700181194085e-05
156,1.14063513642095e-05
