H_over_a,strict_BIC,nonzero_RA_control
5.33333333333333,0.0177019452335371,0.0310352785668705
5.4,0.0177019452335371,0.0312019452335371
5.46666666666667,0.0177019452335371,0.0313686119002038
5.53333333333333,0.0177019452335371,0.0315352785668705
5.6,0.0177019452335371,0.0317019452335371
5.66666666666667,0.0177019452335371,0.0318686119002038
5.73333333333333,0.0177019452335371,0.0320352785668705
5.8,0.0177019452335371,0.0322019452335371
5.86666666666667,0.0177019452335371,0.0323686119002038
5.93333333333333,0.0177019452335371,0.0325352785668705
6,0.0177019452335371,0.0327019452335371
6.06666666666667,0.0177019452335371,0.0328686119002038
6.13333333333333,0.0177019452335371,0.0330352785668705
6.2,0.0177019452335371,0.0332019452335371
6.26666666666667,0.0177019452335371,0.0333686119002038
6.33333333333333,0.0177019452335371,0.0335352785668705
6.4,0.0177019452335371,0.0337019452335371
6.46666666666667,0.0177019452335371,0.0338686119002038
6.53333333333333,0.0177019452335371,0.0340352785668705
6.6,0.0177019452335371,0.0342019452335371
6.66666666666667,0.0177019452335371,0.0343686119002038
6.73333333333333,0.0177019452335371,0.0345352785668705
6.8,0.0177019452335371,0.0347019452335371
6.86666666666667,0.0177019452335371,0.0348686119002038
6.93333333333333,0.0177019452335371,0.0350352785668705
7,0.0177019452335371,0.0352019452335371
7.06666666666667,0.0177019452335371,0.0353686119002038
7.13333333333333,0.0177019452335371,0.0355352785668705
7.2,0.0177019452335371,0.0357019452335371
7.26666666666667,0.0177019452335371,0.0358686119002038
7.33333333333333,0.0177019452335371,0.0360352785668705
7.4,0.0177019452335371,0.0362019452335371
7.46666666666667,0.0177019452335371,0.0363686119002038
7.53333333333333,0.0177019452335371,0.0365352785668705
7.6,0.0177019452335371,0.0367019452335371
7.66666666666667,0.0177019452335371,0.0368686119002038
7.73333333333333,0.0177019452335371,0.0370352785668705
7.8,0.0177019452335371,0.0372019452335371
7.86666666666667,0.0177019452335371,0.0373686119002038
7.93333333333333,0.0177019452335371,0.0375352785668705
8,0.0177019452335371,0.0377019452335371
8.06666666666667,0.0177019452335371,0.0378686119002038
8.13333333333333,0.0177019452335371,0.0380352785668705
8.2,0.0177019452335371,0.0382019452335371
8.26666666666667,0.0177019452335371,0.0383686119002038
8.33333333333333,0.0177019452335371,0.0385352785668705
8.4,0.0177019452335371,0.0387019452335371
8.46666666666667,0.0177019452335371,0.0388686119002038
8.53333333333333,0.0177019452335371,0.0390352785668705
8.6,0.0177019452335371,0.0392019452335371
8.66666666666667,0.0177019452335371,0.0393686119002038
8.73333333333333,0.0177019452335371,0.0395352785668705
8.8,0.0177019452335371,0.0397019452335371
8.86666666666667,0.0177019452335371,0.0398686119002038
8.93333333333333,0.0177019452335371,0.0400352785668705
9,0.0177019452335371,0.0402019452335371
9.06666666666667,0.0177019452335371,0.0403686119002038
9.13333333333333,0.0177019452335371,0.0405352785668705
9.2,0.0177019452335371,0.0407019452335371
9.26666666666667,0.0177019452335371,0.0408686119002038
9.33333333333333,0.0177019452335371,0.0410352785668705
9.4,0.0177019452335371,0.0412019452335371
9.46666666666667,0.0177019452335371,0.0413686119002038
9.53333333333333,0.0177019452335371,0.0415352785668705
9.6,0.0177019452335371,0.0417019452335371
9.66666666666667,0.0177019452335371,0.0418686119002038
9.73333333333333,0.0177019452335371,0.0420352785668705
9.8,0.0177019452335371,0.0422019452335371
9.86666666666667,0.0177019452335371,0.0423686119002038
