deltaKappa,kappa,Omega,thetaDeg,sigmaRelative,rawResidual
-3e-05,0.0838186965529006,0.916181303447099,5.24915999239625,0.00022809118758939,0.00394833975456288
-2.5e-05,0.0838236965529006,0.916176303447099,5.2495027265785,0.000190064863430056,0.00329092280862796
-2e-05,0.0838286965529006,0.916171303447099,5.24984546469005,0.000152042991393188,0.00263324861721227
-1.5e-05,0.0838336965529006,0.916166303447099,5.250188206731,0.000114025570251917,0.00197531820737627
-1e-05,0.0838386965529006,0.916161303447099,5.25053095270141,7.60125987869528e-05,0.00131713261043281
-5e-06,0.0838436965529006,0.916156303447099,5.25087370260138,3.80040757781102e-05,0.000658692861584765
0,0.0838486965529006,0.916151303447099,5.25121645643098,1.26036431743035e-15,1.37656676112385e-13
5e-06,0.0838536965529006,0.916146303447099,5.25155921419028,3.7999629767182e-05,0.000658944931081367
1e-05,0.0838586965529006,0.916141303447099,5.25190197587938,7.59948147485259e-05,0.00131814088444368
1.5e-05,0.0838636965529006,0.916136303447099,5.25224474149835,0.000113985556161495,0.00197758680885646
2e-05,0.0838686965529006,0.916131303447099,5.25258751104727,0.000151971855234923,0.00263728164920277
2.5e-05,0.0838736965529006,0.916126303447099,5.25293028452621,0.00018995371318667,0.00329722434617757
3e-05,0.0838786965529006,0.916121303447099,5.25327306193527,0.000227931131241917,0.00395741383662531
3.5e-05,0.0838836965529006,0.916116303447099,5.25361584327452,0.000265904110623876,0.00461784905343727
4e-05,0.0838886965529006,0.916111303447099,5.25395862854404,0.000303872652552971,0.00527852892538306
4.5e-05,0.0838936965529006,0.916106303447099,5.25430141774391,0.000341836758255003,0.00593945237732296
5e-05,0.0838986965529006,0.916101303447099,5.25464421087421,0.000379796428949499,0.00660061833010398
5.5e-05,0.0839036965529006,0.916096303447099,5.25498700793502,0.000417751665864788,0.00726202570076997
6e-05,0.0839086965529006,0.916091303447099,5.25532980892642,0.000455702470221491,0.00792367340211277
6.5e-05,0.0839136965529006,0.916086303447099,5.25567261384849,0.000493648843241353,0.00858556034308841
7e-05,0.0839186965529006,0.916081303447099,5.25601542270131,0.000531590786151848,0.00924768542874008
7.5e-05,0.0839236965529006,0.916076303447099,5.25635823548497,0.000569528300173344,0.00991004756006651
8e-05,0.0839286965529006,0.916071303447099,5.25670105219953,0.000607461386530412,0.0105726456340698
8.5e-05,0.0839336965529006,0.916066303447099,5.25704387284508,0.00064539004644649,0.0112354785438972
9e-05,0.0839386965529006,0.916061303447099,5.25738669742171,0.000683314281146362,0.0118985451786678
9.5e-05,0.0839436965529006,0.916056303447099,5.25772952592948,0.000721234091853256,0.0125618444236016
0.0001,0.0839486965529006,0.916051303447099,5.25807235836849,0.000759149479791809,0.0132253751599054
