kappa,delta,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,A0_over_C,Am1_over_C,flux_0,flux_m1,ky_0_real,ky_0_imag,ky_m1_real,ky_m1_imag,is_m1_open,is_m1_threshold
0.109993703704917,-6.40160689187064e-06,0.889999499910652,5.57570584189053e-14,7981047827380.39,3.43307374798416e-14,7.16801302697127e-13,4.48291040948475e-07,3.42358109805004e-06,1.99424171180897e-13,0,5.54916077192597,3.53038480653631e-13,-8.96437071390294e-11,-0.0218539298557247,0,0
0.109994697893073,-5.407418735601e-06,0.889999561221658,3.97851983508432e-14,11185058741862.4,2.50929764674022e-13,5.17851394728629e-12,3.78678755690077e-07,2.89071675261544e-06,1.42298230265538e-13,0,5.54916038214628,2.51909055656026e-13,-6.95971026619954e-11,-0.0200853727825317,0,0
0.109995537680919,-4.56763088956002e-06,0.88999961301067,2.83822046837929e-14,15678831558826.8,1.89331474277443e-13,3.89623254822267e-12,3.19875364510838e-07,2.44087094149876e-06,1.01535790105903e-13,0,5.54916005289366,1.7970842212584e-13,-5.40213474692032e-11,-0.0184599393378288,0,0
0.109996247047272,-3.85826453681214e-06,0.8899996567565,2.02446418034533e-14,21981116420757.9,1.41676323385929e-13,2.92788969746044e-12,2.70202811739015e-07,2.06109190201832e-06,7.24498098445437e-14,0,5.54915977476977,1.28183593794105e-13,-4.19255733739735e-11,-0.0169660468593434,0,0
0.109996846246968,-3.25906484038515e-06,0.889999693708334,1.44492834307887e-14,30797364380434,1.06028741262202e-13,2.17282340281177e-12,2.28243398943528e-07,1.74045203504615e-06,5.16956425486649e-14,0,5.54915953983565,9.14889604471369e-14,-3.25585333014894e-11,-0.0155930499987127,0,0
0.10999735238921,-2.75292259835833e-06,0.889999724921341,1.03084708001159e-14,43168368140080.1,8.20471735043936e-14,1.69469143654798e-12,1.9279952066644e-07,1.46973121404218e-06,3.68866618496937e-14,0,5.54915934138485,6.52704577789788e-14,-2.52733236730177e-11,-0.0143311649542705,0,0
0.109997779926091,-2.32538571759633e-06,0.889999751286805,7.35987446656826e-15,60462970892341.3,6.16369882466099e-14,1.3040962580073e-12,1.6285949594641e-07,1.24114924576616e-06,2.63198616087982e-14,0,5.54915917375216,4.66007435715823e-14,-1.96330647455337e-11,-0.0131713997302813,0,0
0.109998141065251,-1.96424655703202e-06,0.889999773557585,5.25201579584084e-15,84729350420308.1,4.72991540350262e-14,9.74373386807159e-13,1.37568719411458e-07,1.0481404621247e-06,1.87800522394116e-14,0,5.54915903215198,3.32543516628407e-14,-1.52438013669745e-11,-0.0121054900576178,0,0
0.109998446118451,-1.65919335773693e-06,0.889999792369611,3.74772024309165e-15,118738824490727,3.69430367503248e-14,7.72993702289755e-13,1.16205269685493e-07,8.85163670088552e-07,1.34001306939198e-14,0,5.54915891254176,2.3729557766563e-14,-1.18354282638482e-11,-0.0111258404880217,0,0
0.109998703796002,-1.40151580691479e-06,0.889999808260049,2.67554288084186e-15,166321350076813,2.8566539200245e-14,5.90104708316036e-13,9.81593129478538e-08,7.47541968895288e-07,9.56137589920378e-15,0,5.54915881150668,1.69408193566274e-14,-9.19344485736194e-12,-0.0102254702633793,0,0
0.10999892145548,-1.18385632866273e-06,0.889999821682637,1.91498038052264e-15,232378313306723,2.27866344183262e-14,4.9520490046901e-13,8.29157056892189e-08,6.31327687723819e-07,6.8223023432297e-15,0,5.54915872616215,1.21251421229014e-14,-7.15945935888257e-12,-0.00939796356742726,0,0
0.109999105311808,-1e-06,0.889999833020649,1.45477238732648e-15,305889718822699,3.13278530176001e-16,1.02337196483133e-13,7.00392797505645e-08,5.33188430950228e-07,4.86788927221746e-15,0,5.54915865407155,9.2112287865124e-15,-5.91780271323392e-12,-0.00863742378923875,0,0
0.110000105311808,0,0.889999894688192,0,Inf,5.84695575170923e-16,1.28083191904701e-13,0,0,0,0,0,0,0,0,0,1
0.110001105311808,1e-06,0.889999956355377,1.59138671710508e-15,279630320772813,5.20422606313003e-16,1.30913140337858e-13,7.0046454245789e-08,5.32142846452783e-07,4.868885247964e-15,4.37391691742276e-16,5.54915786984497,1.00762369218381e-14,0.00863741778072733,6.47353535891279e-12,1,0
