kappa,frequency_real_hz,frequency_imag_hz,Q,pressure_overlap,local_mode_index,Omega,Omega_Rayleigh,delta_Omega
0.106054754889735,178225.252077457,4.31014556236421,20675.0850404802,0.999969462395603,7,0.881620913609821,0.893945245110265,-0.0123243315004445
0.108054754889735,178204.109897315,3.55955044301498,25031.8281409679,0.999961908070582,7,0.88151633029205,0.891945245110265,-0.0104289148182151
0.110054754889735,178177.377191585,2.55504474681378,34867.7606162824,1,7,0.881384092507709,0.889945245110265,-0.00856115260255641
0.112054754889735,178143.357234801,1.08675056750031,81961.4742160003,0.999950635216907,7,0.881215807121484,0.887945245110265,-0.00672943798878178
0.114054754889735,178099.16105561,-1.25823210043187,70773.5722981797,0.999932040183062,7,0.880997183355086,0.885945245110265,-0.00494806175517937
0.116054754889735,178039.092359673,-5.11761045949736,17394.7483663264,0.999896097892627,7,0.880700043539183,0.883945245110265,-0.00324520157108277
0.118054754889735,177950.302613307,-10.120548138961,8791.53481461406,0.999809590822789,7,0.880260830260491,0.881945245110265,-0.001684414849774
0.120054754889735,177805.808797298,-7.70490858424806,11538.4762098803,0.999565858757396,7,0.879546067517302,0.879945245110265,-0.000399177592963373
0.122054754889735,177573.07422634,19.7935123491789,4485.63830142319,0.998981544012276,7,0.87839480717296,0.877945245110265,0.000449562062694975
0.124054754889735,177252.413374614,57.774934976497,1533.99059165294,0.998253704487979,7,0.876808604826424,0.875945245110265,0.000863359716158252
0.126054754889735,176885.206777305,83.8419570251487,1054.87284083939,0.997968786380814,7,0.874992156191735,0.873945245110265,0.00104691108146948
0.128054754889735,176500.258285913,99.7120967842562,885.049377047004,0.998035809090843,7,0.873087944320983,0.871945245110265,0.00114269921071752
0.130054754889735,176107.873958424,109.999707228027,800.492466736095,0.998217983192023,7,0.871146949847669,0.869945245110265,0.00120170473740333
0.132054754889735,175711.806113253,117.206387347722,749.582894283568,0.998423506166064,7,0.869187734240226,0.867945245110265,0.00124248912996117
0.134054754889735,175313.666890138,122.593143329407,715.022317435288,0.9986208965126,7,0.867218272216547,0.865945245110265,0.00127302710628219
0.136054754889735,174914.253216027,126.832970644724,689.545676991141,0.998799027786069,8,0.865242505908613,0.863945245110265,0.00129726079834758
0.138054754889735,174514.00245701,130.310521838571,669.608255706314,0.998954716731158,8,0.863262598820676,0.861945245110265,0.00131735371041053
0.140054754889735,174113.17427988,133.2594666577,653.286324217096,0.999088227076087,8,0.861279835437804,0.859945245110265,0.0013345903275388
0.142054754889735,173711.932515435,135.829250473475,639.449646927697,0.999201324408049,8,0.85929502617635,0.857945245110265,0.00134978106608519
0.144054754889735,173310.385651635,138.119670786521,627.392118243265,0.999296336528914,8,0.857308707690089,0.855945245110265,0.001363462579824
0.146054754889735,172908.60841917,140.199852489946,616.650464848278,0.999375681694178,8,0.855321249646826,0.853945245110265,0.00137600453656095
0.148054754889735,172506.654015775,142.119200378682,606.908333132061,0.999441638199795,8,0.853332915198032,0.851945245110265,0.00138767008776686
0.150054754889735,172104.561383251,143.914002834866,597.942375283424,0.999496243967846,8,0.851343896975813,0.849945245110265,0.00139865186554811
0.152054754889735,171702.35972432,145.611566952714,589.590385288824,0.999541266163225,8,0.849354339436302,0.847945245110265,0.00140909432603709
0.154054754889735,171300.07140779,147.232894548222,581.731656955523,0.999578207200218,8,0.847364353230535,0.845945245110265,0.00141910812026957
0.156054754889735,170897.713895291,148.794464998266,574.274432510922,0.999608327870478,8,0.845374024735371,0.843945245110265,0.00142877962510579
0.158054754889735,170495.301053589,150.309453852861,567.147630050228,0.999632677182294,8,0.843383422545086,0.841945245110265,0.00143817743482122
0.160054754889735,170092.844069885,151.788585561644,560.29524038488,0.99965212286706,8,0.84139260199903,0.839945245110265,0.00144735688876452
0.162054754889735,169690.352103603,153.240742617681,553.672441169781,0.999667380132854,7,0.839401608405823,0.837945245110265,0.00145636329555798
0.164054754889735,169287.832759338,154.673409568665,547.242842940582,0.999679037057784,7,0.83741047938286,0.835945245110265,0.0014652342725946
0.166054754889735,168885.292436138,156.093002714284,540.976499584895,0.999687576469218,7,0.835419246584094,0.833945245110265,0.00147400147382859
0.168054754889735,168482.73658952,157.505119391346,534.848445690513,0.999693394426627,7,0.83342793699616,0.831945245110265,0.00148269188589467
0.170054754889735,168080.169930774,158.914730146211,528.837602958929,0.999696815639725,7,0.831436573924231,0.829945245110265,0.00149132881396552
0.172054754889735,167677.59658123,160.326329786799,522.925949855543,0.999698106012522,7,0.82944517775515,0.827945245110265,0.00149993264488424
0.174054754889735,167275.020192757,161.744058678262,517.097881553402,0.999697483157834,7,0.827453766553505,0.825945245110265,0.00150852144323976
0.176054754889735,166872.444043824,163.17180270969,511.339708432094,0.999695124661335,7,0.825462356536784,0.823945245110265,0.00151711142651878
0.178054754889735,166469.871116777,164.613278120356,505.639256497474,0.999691174877881,7,0.823470962457659,0.821945245110265,0.00152571734739348
0.180054754889735,166067.304161468,166.072105702252,499.985543807121,0.999685750189755,7,0.821479597918728,0.819945245110265,0.00153435280846237
